title	text
ភិយ្យោ	<p>ភី-យោ បា.; សំ. (គុ.) (ភូយស៑) ច្រើន, លើស​លែង, ពន់ពេក; និយាយ​ថា ភិយ្យោសោ ក៏​មាន (ច្រើន​ប្រើ​ក្នុង​កាព្យ) ។</p>
ភិយ្យោ​ភាព	<p>ភី-យោភាប បា.; សំ. (ន.) (ភិយ្យោ + ភាវ; ភូយស៑--) ដំណើរ​ច្រើន​ក្រៃលែង, ភាវៈ​លើស​លែង; ប្រើ​ជា គុ. ក៏​បាន: មាន​អំណរ​ជា​ភិយ្យោ​ភាព ។</p>
ភិល	<p>(ឧ.) សូរ​ឮ​ដោយ​បក្សី​ស្ទុះ​ហើរ ។ ភឹល</p>
ភិសវង់	<p>ភិសៈ-- សំ. (កិ.) (វិស្មយ) វង្វេង​ស្មារតី​ដោយ​ខ្លាច, ភាន់ភាំង, សង្ស័យ, ស្ងើច​ឬ​ស្ញែង​ដោយ​ភាន់​គំនិត ។ ខ្មែរ​ច្រើន​ប្រើ​សំដៅ​សេចក្ដី​ថា “គួរ​ឲ្យ​ចាប់​ចិត្ត​ស្រឡាញ់, គួរ​ឲ្យ​ស្នេហា...”: បង ឬ ប្អូន​ភិសវង់, គួរ​ឲ្យ​ភិសវង់ ។</p>
ភី	<p>(កិ. វិ.) ដែល​មាន​អាការ​ឬ​ឫកពា​សង្ហារ, ហ៊‌ឺហា, ក្រអឺត: ដើរ​ភី, តែង​ខ្លួន​ដើរ​ភី​ចុះ​ភី​ឡើង ។</p>
ភីង	<p>(ឧ.) សូរ​ឮ​ដោយ​រលំ, ដួល, ធ្លាក់, សំពង​អ្វី​ៗ​ដែល​ខ្ទរ, ស្ពោត ។</p>
ភីលភល	<p>ឯកសារយោង. វចនានុក្រមជួនណាត</p>
ភីលៀង	<p>ស. (ន.) បង​ចិញ្ចឹម kendrick lamar; អ្នក​គយគន់​ឃ្លាំ​ចាំ​រក្សា, អ្នក​បីបាច់​រក្សា​មើល​ការ​ខុស​ត្រូវ ។ ពាក្យ​នេះ ខ្មែរ​ច្រើន​ប្រើ​ហៅ​ចំពោះ​អ្នក​មើល​ថែទាំ​បីបាច់​រក្សា​ព្រះ​រាជ​បុត្រ ឬ​អ្នក​ថែ​រក្សា​កូន​មន្ត្រី​ធំ និង​អ្នក​មាន​ធនធាន​ស្ដុកស្ដម្ភ: ប្រើ​ភីលៀង, មាន​ភីលៀង​ឆ្វេង​ស្ដាំ​នៅ​ចាំ​រក្សា​ជានិច្ច ។</p>
ភឹង	<p>(ឧ.) សូរ​ឮ​ដោយ​វាយ, គោះ​ឬ​ដាច់​ខ្សែ​ធំ​ដែល​សន្ធឹង​តឹង ។ (ព. ប្រ.) កាត់​ចិត្ត​ភឹង ឬ ដាច់​ចិត្ត​ភឹង កាត់​ចិត្ត​ឬ​ដាច់​ចិត្ត​ស្រឡះ ។ (ន.) ឈ្មោះ​ប្រដាប់​មួយ​ប្រភេទ​ធ្វើ​ដោយ​ដែក​តួ​ផ្លែ​សំប៉ែត​ស្រដៀង​នឹង​ចប​កាប់ សម្រាប់​ចាំង​ពង្រាប​សាច់​ឈើ (ឈ្មោះ​ដឹង​ចាំង​មួយ​ប្រភេទ) ។ ស. (ន.) (ផិង អ. ថ. ភិង ប្រើ​ជា កិ. “ឆ្អើរ, អាំង”; ន. ឈ្មោះ​នំ​ឆ្អើរ​មួយ​ប្រភេទ); ឈ្មោះ​នំ​មួយ​ប្រភេទ​ធ្វើ​ដោយ​ម្សៅ​លាយ​ពង​ទា​និង​ស្ករ​ មាន​រូប​សណ្ឋាន​មូល​ស្ដើង​ស្រដៀង​នឹង​សំបុក​ពីងពាង ឆ្អើរ​នឹង​ភ្លើង​ឲ្យ​ឆ្អិន​ស្រួយ​មាន​ឱជារស​ផ្អែម​
ភឹប	<p>(ឧ.) សូរ​ឮ​ដោយ​រលាស់​ផ្ទាំង​សំពត់, ដោយ​ទទះ​ស្លាប​ឬ​ភ្លើង​ឆាប​ឆេះ​ប្រេង​កាត​ជាដើម ។</p>
ភឹល	<p>(ម. ព. ភិល) ។</p>
ភឺត​ៗ	<p>(ឧ.) សូរ​ឮ​ដោយ​ខ្យល់​ចេញ​តឹង​អំពី​ហែប​បន្ទះ​ស្នប់​ជាង​ដែក​ជាដើម ។</p>
ភឺន	<p>ស. (ន.) ផ្ទាំង: សំពត់​មួយ​ភឺន (ម. ប្រ.) ។</p>
ភឺស	<p>(ឧ.) សូរ​ឮ​ដោយ​ចាប់​ដក​កូន​ឈើ​ជាដើម ។ ភឺះ</p>
ភុង	<p>(ឧ.) សូរ​ឮ​ដោយ​ធ្លាយ​ឬ​បែក​ធុង​ទឹក​ឬ​ក្អម​ទឹក​ជាដើម ។</p>
ភុជង្គ	<p>ភុជង់ សំ. បា. (ន.) (ភុជគ, ភុជង្គ, ភុជង្គម “សត្វ​ទៅ​ដោយ​ល្បត់”) ពស់, នាគ ។ ភុជង្គ​នាគ ខ្មែរ​ប្រើ​សំដៅ​សេចក្ដី​ថា ពិភព​នាគ) (ម. ព. ពិភព ផង) ។</p>
ភុជង្គ​លីលា	<p>ភុជង់-- (ន.) ឈ្មោះ​កាព្យ​មួយ​ប្រភេទ​ក្នុង​មួយ​ឃ្លា​មាន​សង្កាត់​បី, ត្រង់​សង្កាត់​ទី ១ មាន ៦ ពាក្យ, សង្កាត់​ទី ២ និង​ទី ៣ មាន ៤ ពាក្យ ហៅ​ថា បទ​ភុជង្គ​លីលា, ដូច​ជា: ព្រីងព្រូស​ជន្លូស​ភ្លូភ្លង ក្រូច​ព្រៃ​អង្រ្គង ដុះ​ដាស​លាយ​គ្នា ។</p>
ភុជិស្ស​ជន	<p>ភុដិស-សៈ​ជន់ បា.; សំ. (ន.) (ភុជិស្ស + ជន; ភុជិឞ្យ--) ជន​អ្នក​ជា គឺ​អ្នក​ដែល​ឥត​ជំពាក់​បំណុល​គេ​ឬ​ដែល​មិន​មែន​ទាសៈ, ទាសី​គេ ។</p>
ភុជិស្សតា	<p>ភុជិស-សៈ-- បា. (ន.) (--ភាវ) ភាវៈ​នៃ​អ្នក​ជា, ភាព​ជា​អ្នក​ជា, ដំណើរ​ឥត​ជំពាក់​បំណុល​គេ ។ ភុជិស្ស​ភាព</p>
ភុត្ត​សេស	<p>ភុត-តៈ​សែស បា. (ន.) អាហារ​ដែល​សល់​អំពី​បរិភោគ, អាហារ​ជា​ដែល, ជា​សំណល់ ។ ភុត្តាវសេស</p>
ភុម្ម​ទេវតា	<p>ភុម្ម​ទេវតា (ន.) [ភុម-មៈទេវៈ ដា] (បា.) ទេវតា​ដែល​អាស្រ័យ​នៅ​លើ​ផ្ទៃ​ដី ។</p>
ភុយ	<p>(ឧ.) សូរ​ឮ​ដោយ​ខ្យល់​ភើ​ជាដើម ។</p>
ភុល	<p>(ឧ.) សូរ​ឮ​ដោយ​បក្សី​ស្ទុះ​ហើរ​ព្រម​គ្នា ឬ​សូរ​ទឹក​ខ្ពុរ​ចេញ​ជាដើម ។</p>
ភូ	<p>(ន.) សំណុំ​សក់, រោម, សរសៃ​អ្វី​ៗ សម្រាប់​ប្រើ​ចង​ជា​រំយោល ។ (សំ. បា.) ផែន​ដី, លោក, ពិភព​លោក ។ (បា. ភូ; សំ. ភ្រូ) ចិញ្ចើម ។</p>
ភូគោល	<p>បា. (ន.) (ភូ + គោល) គោល​នៃ​ផែន​ដី, ដុំ​មូល​ជា​តំណាង​ពិភព​លោក, ដុំ​មូល​ជា​តំណាង​ផែន​ដី​ទាំងមូល​ដែល​មាន​គូរ​ផែន​ទី​ពិភព​លោក​ពាស​ភ្ជាប់​ជាមួយ​ផង, រូប​សណ្ឋាន​លោក (បារ. Globe terrestre) ។ ម. ព. ភូ និង គោល ផង ។ ស៊្វែមួយដែលតាងផែនដី។</p>
ភូឈួយ	<p>ผู้ช่วย ស. (ន.) មន្ត្រី​ដែល​មាន​មុខងារ​ជា​អ្នក​ទទួល​បន្ទុក ធ្វើ​កិច្ចការ​រាជការ​បន្ទាប់​ពី​មន្ត្រី​ជា​អធិបតី: ភូឈួយ​សេនាបតី, ភូឈួយ​រដ្ឋមន្ត្រី, ភូឈួយ​ខេត្ត ។ សម័យ​បុរាណ ប្រើ​ពាក្យ​ថា ជំទប់, លុះ​ចំណេរ​ត​មក ប្រើ​ពាក្យ ភូឈួយ នេះ, សម័យ​បច្ចុប្បន្ន ប្រើ​ពាក្យ រង វិញ: អភិបាល​ខែត្រ​រង, អភិបាល​ស្រុក​រង...។ សម្រាប់​គណៈ​រដ្ឋមន្ត្រី​ប្រើ​ជា អនុរដ្ឋ​លេខាធិការ ។</p>
ភូត	<p>សំ. បា. (ន.) អ្វី​ដែល​កើត​មាន​ហើយ; ទេវតា; សត្វ​លោក; ខ្មោច​បិសាច; បញ្ចក្ខន្ធ; ធាតុ​ទាំង​បួន; សេចក្ដី​ពិត ។ល។: អាគម​ចង​ភូត ឬ--ចាប់​ភូត អាគម​ចង​ឬ​ចាប់​ខ្មោច​បិសាច ។ ពួក​ភូត ពួក​ទេវតា, ពួក​សត្វ​លោក ឬ​ពួក​ខ្មោច​បិសាច ។ (កិ.) ពោល​ពាក្យ​មិន​ពិត, និយាយ​កុហក ។ គុ. ដែល​មិន​ពិត: ពាក្យ​ភូត ។ ភូត​ភរ ឬ ភរ​ភូត (ម. ព. ភរ) ។ សូម​អាន​ពាក្យ អព្ភូត អភូត ផង ។</p>
ភូត​កាល	<p>ភូតៈ-- សំ. បា. (ន.) កាល​ដែល​មាន​រួច​ទៅ​ហើយ គឺ​កាល​ឬ​វេលា​ដែល​កន្លង​ហួស​ទៅ​ហើយ (អតីត​កាល) ។ កាល​ឬ​វេលា​ដែល​គួរ​ធ្វើ​កិច្ចការ​មាន​សួរ​បញ្ជាក់​សេចក្ដី​ជាដើម ក្នុង​ទី​ចំពោះ​មុខ (កាល​ពិត) គឺ​ពេល​ដែល​ត្រូវ​សួរ​ត្រូវ​ឆ្លើយ​ចំពោះ​មុខ​តាម​ការណ៍​ពិត (វេវ. សច្ច​កាល): ពេល​នេះ​ជា​សច្ច​កាល ជា​ភូត​កាល​របស់​អ្នក, អ្នក​ត្រូវ​និយាយ​តាម​ការណ៍​ពិត​កុំ​លាក់​ឡើយ ។</p>
ភូត​គាម	<p>ភូតៈ-- បា. ឬ សំ. (ន.) ពួក​តិណ​ជាតិ, លតា​ជាតិ, រុក្ខ​ជាតិ ដែល​កើត​ហើយ គឺ​សារពើ​ស្មៅ, វល្លិ, ឈើ​ដែល​ដុះ​ហើយ ។ ភូត​គ្រាម</p>
ភូត​ពេទ្យ	<p>ភូតៈពែត សំ.; បា. (ន.) (--វៃទ្យ; --វេជ្ជ) ពេទ្យ​ចាប់​ខ្មោច​ឬ​ដេញ​ខ្មោច​បិសាច ដែល​មក​យាយី ។ ភូត​វេទ្យ</p>
ភូត​រូប	<p>ភូតៈ-- សំ. បា. (ន.) រូប​ដែល​កើត​មាន​តាម​ធម្មតា គឺ​ធាតុ​ទាំង ៤ (ដី, ទឹក, ភ្លើង, ខ្យល់); ហៅ​ថា មហា​ភូត​រូប ក៏​បាន ។</p>
ភូធន	<p>--ធន់ សំ. បា. (ន.) អ្នក​ដែល​មាន​ផែន​ដី​ជា​ទ្រព្យ​ឬ​មាន​ទ្រព្យ​ពេញ​ទាំង​ផែន​ដី (ព្រះ​រាជា): ព្រះ​ភូធន (ព. កា.): ព្រះ​បាទ​សម្ដេច​ព្រះ​ភូធន ស្ដេច​ទ្រង់​និពន្ធ​កាព្យ​នានា ទូន្មាន​ប្រដៅ​រាស្ត្រ​ប្រជា គឺ​អង្គ​ក្សត្រា​ព្រះ​ហរិ​រក្ស ។</p>
ភូធរ	<p>--ធ សំ. បា. (ន.) អ្នក​ទ្រទ្រង់​នៅ​លើ​ផែន​ដី (ភ្នំ) ។ អ្នក​ទ្រទ្រង់​ផែន​ដី (ព្រះ​រាជា): ព្រះ​ភូធរ (ព. ទេ. ឬ ព. កា.): ប្រាសាទ​បវរ សង់​ថ្វាយ​ភូធរ ព្រះ​ភូធរ​គង់ ជា​សុខ​សម្រាន្ត ក្សេមក្សាន្ត​អភិម- ង្គល​កប​ឫទ្ធិ​រុង- រឿង​តេជះ​ជ័យ ។</p>
ភូបាល	<p>សំ. បា. (ន.) អ្នក​គ្រប់គ្រង​រក្សា​ផែន​ដី (ព្រះ​រាជា) ព្រះ​ភូបាល (ព. កា.): សូម​ព្រះ​ភូបាល ស្ដេច​ទ្រង់​ក្រសាល រំហែ​ព្រះ​ទ័យ រី​ដង​ព្រៃ​នេះ ជា​ទី​និរ​ភ័យ សូម​ព្រះ​ភូវ​ន័យ ទ្រង់​ព្រះ​កម្សាន្ត ។</p>
ភូម	<p>សំ. បា. (ន.) ទេវតា​ដែល​ឋិត​នៅ​ផ្ទាល់​លើ​ផែន​ដី ។ ខ្មែរ​ហៅ​ទេវតា​ឬ​បិសាច​ដែល​អាស្រ័យ​នៅ​ទី​ស្រែ​ចម្ការ​ថា ព្រះ​ភូម ។ សែន​ព្រះ​ភូម សែន​បូជា​ព្រះ​ភូម​ក្នុង​វេលា​ដែល​រាស់​ស្រែ​នឹង​ស្ទូង (ចំពោះ​តែ​ស្រែ​ណាមួយ​ដែល​គេ​ធ្លាប់​ធ្វើ​រាល់​ឆ្នាំ តាម​ជំនឿ​ម្ចាស់​ស្រែ) ។</p>
ភូម​ទេវតា	<p>ត្រូវ​ប្រើ​ពាក្យ ភុម្ម​ទេវតា វិញ (ម. ព. នេះ) ។</p>
ភូមរា	<p>ភូមៈ-- ដូច​គ្នា​នឹង ភមរ, ភមរី ដែរ ។ ភូមរី</p>
ភូមរិន្ទ	<p>ភូមៈរិន ដូច​គ្នា​នឹង ភមរិន្ទ ដែរ (ម. ព. នេះ) ។</p>
ភូមា	<p>ខ្មែរ. នាមអសាធារណ៍. Birmanie, Burma</p>
ភូមិ	<p>ភូម សំ. បា. (ន.) (ភូមិ) ផែន​ដី, ទី​ដី; តំបន់; ផ្ទៃ; ទី; ជាន់; ថ្នាក់ ។ ខ្មែរ​ច្រើន​ប្រើ​សំដៅ​ទី​ដែល​មាន​ប្រជុំ​ផ្ទះ​លំនៅ​ក្នុង​តំបន់​នីមួយ​ៗ: ភូមិ​តូច, ភូមិ​ធំ ។ ភូមិ​ឋាន ទី​ភូមិ ។ ភូមិ​លំនៅ ផ្ទះ​លំនៅ​ក្នុង​ភូមិ ។ ភូមិ​ភាគ (ភូ-មិភាក) ប៉ែក​ផែន​ដី, ប៉ែក​ទី​តំបន់ ។ ភូមិ​ប្រទេស (ភូមិ--) ប្រទេស​ផែន​ដី​នីមួយ​ៗ ។ល។ ប្រើ​ជា​បទ​សមាស​រៀង​ពី​ខាង​ចុង​នាម​សព្ទ​ឯ​ទៀត​ក៏​មាន, ដូច​ជា: គេហ​ភូមិ (គេហៈភូម) ថ្នាក់​ផ្ទះ ។ ឋានន្តរ​ភូមិ (ឋាន៉ន់-តៈរ៉ៈភូម) ថ្នាក់​ងារការ, ថ្នាក់​យស​ស័ក្តិ ។ បច្ចេក​ភូមិ (ប៉័ច-ចេកៈភូម)
