ref	verse
1CH 10:9	ពួកគេក៏ដោះយកអ្វីៗទាំងអស់ពីសពរបស់ទ្រង់ ព្រមទាំងកាត់ក និងយកគ្រឿងសស្ត្រាវុធទៅជាមួយ រួចផ្ញើដំណឹងនេះទៅគ្រប់ទីកន្លែង ក្នុងស្រុកភីលីស្ទីនទាំងមូល ឲ្យប្រកាសនៅតាមវិហារនៃព្រះរបស់គេ និងប្រកាសប្រាប់ដល់ប្រជាជន។
1CH 11:1	ប្រជា‌ជន​អ៊ីស្រា‌អែលទាំងអស់បាន​​ប្រមូល​គ្នា​មក​គាល់​ព្រះ‌បាទ​ដាវីឌ នៅ​ក្រុង​ហេប្រូន ទូល​ថា៖ «យើង​ខ្ញុំ​ទាំង​អស់​គ្នា​ជា​សាច់​ញាតិរបស់​ព្រះ‌ករុណា​ដែរ។
1CH 11:10	នេះ​ជា​បញ្ជី​រាយ​នាម​នាយ​ទាហាន​ដ៏​អង់‌អាច​របស់​ព្រះ‌បាទ​ដាវីឌ គឺ​អស់​អ្នក​ដែល​បាន​ជួយ​ជ្រោម‌ជ្រែង​ឲ្យ​ស្ដេច​ទទួល​រាជ​សម្បត្តិ​លើ​ស្រុក​អ៊ីស្រា‌អែល​ទាំង​មូល ហើយ​ឲ្យ​ស្ដេច​បាន​សោយ​រាជ្យ ស្រប​តាម​ព្រះ‌បន្ទូល​របស់​ព្រះ‌អម្ចាស់ ស្ដី​អំពី​ជន‌ជាតិ​អ៊ីស្រា‌អែល។
1CH 11:11	ពួក​ទាហាន​ដ៏​អង់‌អាច​របស់​ព្រះ‌បាទ​ដាវីឌ មាន​រាយ​នាម​​ដូច​ត​ទៅ លោក​យ៉ាសុ‌បៀម​ជា​កូន​របស់​លោក​ហាក់‌មុនី លោក​ជា​ប្រមុខ​លើ​មេ​បញ្ជា​ការ​សាម‌សិប​នាក់។ គឺ​លោក​ហើយ​ដែល​បាន​ប្រើ​លំពែង សម្លាប់​ខ្មាំង​អស់​បី​រយ​នាក់ ក្នុង​ពេល​តែ​មួយ។
1CH 11:12	បន្ទាប់មក គឺលោកអេឡាសារ ជាកូនរបស់លោកដូដូរ ជាអ្នកស្រុកអហូ លោកជាម្នាក់ក្នុងចំណោមនាយទាហានដ៏អង់អាចទាំង៣នាក់។
1CH 11:13	លោកបាននៅជាមួយព្រះបាទដាវីឌ នៅផាស់ដាំមីម ក្នុងគ្រាដែលពួកជនជាតិភីលីស្ទីនលើកទ័ពមកច្បាំង នៅទីនោះមានវាលស្រែពេញដោយស្រូវ ហើយកងទ័ពអ៊ីស្រាអែលបានបាក់ទ័ពរត់នៅមុខពួកភីលីស្ទីន។
1CH 11:14	ពេលនោះលោកអេឡាសារនិងទាហានរបស់លោកបានឈរនៅទីនោះ​ហើយវាយប្រហារជនជាតិភីលីស្ទីន ហើយព្រះអម្ចាស់បានប្រោសប្រទានជ័យជម្នះដ៏ធំធេង។
1CH 11:15	នាយ​ទាហាន​បី​រូប​ក្នុង​ចំណោម​នាយ​ទាហាន​ទាំង​សាម‌សិប​នាក់ បាន​នាំ​គ្នា​ចូល​គាល់​ព្រះ‌បាទ​ដាវីឌ ក្នុង​ល្អាង​ភ្នំ​អាឌូ‌ឡាម។ នៅ​ពេលនោះ​ពួកទាហាន​ភីលីស្ទីន​បោះ​ទ័ព​នៅ​ជ្រលង​ភ្នំ​រេ‌ផែម។
1CH 11:16	ពេលនោះ ព្រះបាទដាវីឌគង់នៅក្នុងជម្រកដ៏រឹងមាំមួយ ស្របពេលដែលពួកកងទ័ពភីលីស្ទីនមួយក្រុមឈរជើងនៅភូមិបេថ្លេហិមដែរ។
1CH 11:17	ព្រះបាទដាវីឌស្រេកទឹក ក៏មានព្រះរាជឱង្កាថា៖ «តើអ្នកណាអាចដងទឹកពីអណ្តូងនៅមាត់ទ្វារភូមិបេថ្លេហិមយកមកឲ្យយើងបាន?»។
1CH 11:18	នាយទាហានទាំងបីនាក់នាំគ្នាសម្រុកចូលទៅក្នុងទីតាំងទ័ពពួកភីលីស្ទីន ហើយដងទឹកពីអណ្តូងនៅមាត់ទ្វារភូមិបេថ្លេហិម​យក​​មកថ្វាយព្រះបាទដាវីឌ ប៉ុន្តែ ព្រះបាទដាវីឌមិនព្រមសោយទេ ព្រះករុណាបានយកទឹកនោះច្រូចលើដីថ្វាយព្រះអម្ចាស់វិញ។
1CH 11:19	រួចព្រះករុណាមានព្រះរាជឱង្កាថា៖ «ព្រះអម្ចាស់អើយ! ទូលបង្គំគ្មានសិទ្ធិទទួលទានទឹកនេះទេ ពីព្រោះទឹកនេះដូចជាឈាមរបស់ទាហានដែលបានប្រថុយជីវិតទៅដងយកមកដែរ!»។ ដូច្នេះ ស្តេចមិនព្រមសោយទឹកនោះទេ ព្រោះពួកទាហានបានប្រថុយជីវិតទៅដងយកមក។ នេះហើយជាស្នាដៃដែលទាហានដ៏ខ្លាំងពូកែទាំងបីនាក់បានធ្វើ។
1CH 11:2	កាល​ពី​មុន នៅ​ពេល​​ព្រះ‌បាទ​សូល​គ្រង​រាជ្យ​លើ​យើង​ខ្ញុំ ព្រះ‌ករុណា​ធ្លាប់​ដឹក​នាំ​កង‌ទ័ព​អ៊ីស្រា‌អែល​ចេញ​ទៅ​ធ្វើ​សឹក។​ព្រះ‌អម្ចាស់​ជា​ព្រះ​របស់​ព្រះ‌ករុណា មាន​ព្រះ‌បន្ទូល​មក​កាន់​ព្រះ‌ករុណា​ថា អ្នក​នឹង​គ្រប់‌គ្រង​លើ​ជន‌ជាតិ​អ៊ីស្រា‌អែល ជា​ប្រជា‌រាស្ត្រ​របស់​យើង អ្នក​នឹង​ដឹក​នាំ​ពួក​គេ»។
1CH 11:20	លោកអប៊ីសាយជាប្អូនរបស់លោកយ៉ូអាប់ គឺជាប្រមុខលើមេទ័ពទាំងបី។ លោកបានប្រើលំពែងរបស់លោកសម្លាប់ខ្មាំងសត្រូវអស់បីរយនាក់។ លោកមានឈ្មោះល្បីជាងគេ ក្នុងចំណោមមេទ័ពទាំងបីនាក់។
1CH 11:21	លោកបានទទួលកិត្តិយសច្រើនជាងគេ ក្នុងចំណោមមេទ័ពទាំងបីនាក់ ហើយលោកគឺជាប្រមុខលើមេទ័ពទាំងបី ប៉ុន្តែ លោកមិនអាចប្រៀបនឹងអ្នកទាំងបីបានទេ។
1CH 11:22	លោក​បេណា‌យ៉ា ជា​កូន​របស់​លោក​យេហូ‌យ៉ាដាលោក​បាន​បញ្ចេញ​ស្នា‌ដៃ​​យ៉ាង​ច្រើន។ ​លោក​​បាន​វាយ​ពួក​អរាល​ពីរ​នាក់​នៅ​ស្រុក​ម៉ូអាប់ ព្រម​ទាំង​ចុះ​ទៅ​ក្នុង​រណ្ដៅ ដើម្បី​សម្លាប់​សត្វ​សិង្ហ​មួយ នៅ​ថ្ងៃ​ដែល​មាន​ទឹក​កក​ធ្លាក់។
1CH 11:23	លោក​ក៏​បាន​សម្លាប់​ជន‌ជាតិ​អេស៊ីប​ម្នាក់ ដែល​មាន​កម្ពស់​ប្រាំ​ហត្ថ និង​ប្រដាប់​ដោយ​លំពែង​មួយ​យ៉ាង​ធំ ដូច​ជា​ឈើ​កី‌តម្បាញ លោក​ទៅ​ប្រយុទ្ធ​នឹង​គេដោយ​មាន​តែ​ដំបង​មួយ​ប៉ុណ្ណោះ។ លោក​ដណ្ដើម​យក​លំពែង​ពី​ដៃ​អ្នក​នោះ​បាន ហើយ​ចាក់​សម្លាប់​នឹង​លំពែង​នោះ​ទៅ។
1CH 11:24	នេះហើយជាស្នាដៃរបស់លោកបេណាយ៉ា ជាកូនរបស់លោកយេហូយ៉ាដា ដែលធ្វើឲ្យលោកមានឈ្មោះល្បីជាមួយនិងមេទ័ពទាំងបី។
1CH 11:25	ក្នុងចំណោមមេបញ្ជាការទាំងសាមសិបនាក់ លោកទទួលបានកិត្តិយសជាងគេ ប៉ុន្តែ លោកពុំអាចប្រៀបស្មើនឹងពួកមេទ័ពទាំងបីនាក់បានទេ។ តែព្រះបាទដាវីឌបានតែងតាំងលោកជាមេបញ្ជាការលើកងអង្គរក្សរបស់ស្តេច។
1CH 11:26	វីរ‌បុរស​ដ៏​អង់‌អាច​ឯ​ទៀតៗ​មាន លោក​អេសា‌អែល​ជា​ប្អូន​របស់​លោក​យ៉ូអាប់ លោក​អែល‌ហាណាន​ជា​កូន​របស់​លោក​ដូដូរ អ្នក​ភូមិ​បេថ្លេ‌ហិម
1CH 11:27	លោក​សាំម៉ូត​អ្នក​ស្រុក​ហារ៉ូ លោក​ហេលេស អ្នក​ស្រុក​ពេឡូន
1CH 11:28	លោក​អ៊ីរ៉ា​ជា​កូន​របស់​លោក​អ៊ីក‌កែស អ្នក​ក្រុង​ត្កូអា លោក​អបៀ‌ស៊ើរ​អ្នក​ស្រុក​អានា‌ថោត
1CH 11:29	លោក​ស៊ីបា‌កាយ អ្នក​ស្រុក​ហ៊ូសាយ លោក​អ៊ីឡាយ អ្នក​ស្រុក​អហូ‌។
1CH 11:3	ដូច្នេះ ព្រឹទ្ធា‌ចារ្យ​ទាំង​អស់​របស់​ជន‌ជាតិ​អ៊ីស្រា‌អែល​ចូល​មក​គាល់​ព្រះ‌រាជា នៅ​ក្រុង​ហេប្រូន ហើយព្រះ‌បាទ​ដាវីឌ​បាន​ចង​សម្ពន្ធ‌មេត្រី​ជា​មួយ​ព្រឹទ្ធា‌ចារ្យ​ទាំង​នោះ នៅ​ក្រុង​ហេប្រូននៅ​ចំពោះ​ព្រះ‌ភ័ក្ត្រ​ព្រះ‌អម្ចាស់ រួច​ហើយ​ពួក​គេ​បាន​ចាក់​ប្រេង​អភិ‌សេក​ព្រះ‌បាទ​ដាវីឌ ជា​ស្ដេច​របស់​ប្រជា‌រាស្ត្រ​អ៊ីស្រា‌អែល ស្រប​តាម​ព្រះ‌បន្ទូល​ដែល​ព្រះ‌អម្ចាស់​បាន​ថ្លែង​ទុក​តាម​រយៈ​ព្យាការី​សាំយូ‌អែល។
1CH 11:30	លោក​ម៉ាហា‌រាយ អ្នក​ស្រុក​នេថូ‌ផា លោក​ហេលែប​ជា​កូន​របស់​លោក​បាណា អ្នក​ស្រុក​នេថូ‌ផា
1CH 11:31	លោក​អ៊ីតាយ​ជា​កូន​របស់​លោក​រីបាយ អ្នក​ក្រុង​គីបៀន ក្នុង​កុល‌សម្ព័ន្ធ​បេន‌យ៉ាមីន លោក​បេណា‌យ៉ា អ្នក​ស្រុក​ពីរ៉ា‌ថូន
1CH 11:32	លោក​ហ៊ូរ៉ាយ អ្នក​ស្រុក​កាអាស លោក​អបៀល អ្នក​ស្រុក​អើរ៉ា‌បា
1CH 11:33	លោក​អាស‌ម៉ាវែត អ្នក​ស្រុក​បាហ៊ូ‌រីម លោក​អេលីយ៉ាបា អ្នក​ស្រុក​សាអាលបូន។
1CH 11:34	លោក​ហាសេម​អ្នក​ស្រុក​គីសូន លោក​យ៉ូណា‌ថាន​ជា​កូន​របស់​លោក​សាកេ អ្នក​ស្រុក​ហារ៉ា‌រី
1CH 11:35	លោក​អហ៊ី‌យ៉ាម​ជា​កូន​របស់​លោក​សាកើរ អ្នក​ស្រុក​ហារ៉ា‌រី លោក​អេលី‌ផាល​ជា​កូន​របស់​លោក​អើរ
1CH 11:36	លោក​ហេភើរ អ្នក​ស្រុក​មេកេ‌រ៉ា លោក​អហ៊ី‌យ៉ា អ្នក​ស្រុក​ពេឡូន
1CH 11:37	លោក​ហែស្រូ អ្នក​ស្រុក​កើមែល លោក​ណារ៉ាយ​ជា​កូន​របស់​លោក​អែស‌បាយ
1CH 11:38	លោក​យ៉ូ‌អែល​ជា​ប្អូន​របស់​លោក​ណាថាន លោក​មីបហា​ជា​កូន​របស់​លោក​ហាគ្រី
1CH 11:39	លោក​សេ‌លេក​ជា​ជន‌ជាតិ​អាំម៉ូន លោក​ណាហា‌រ៉ាយ អ្នក​ក្រុង​បេរ៉ូត (ជា​អ្នក​កាន់​គ្រឿង​សស្ត្រា‌វុធ​របស់​លោក​យ៉ូអាប់ ជា​កូន​របស់​អ្នក​ស្រី​សេរូយ៉ា)
1CH 11:4	ព្រះ‌បាទ​ដាវីឌ និង​កង‌ទ័ព​អ៊ីស្រា‌អែល​ទាំង​មូល នាំ​គ្នា​ចេញ​ទៅ​វាយ​យក​ក្រុង​យេរូ‌សាឡឹម (គឺ​ក្រុង​យេប៊ូស)។ ពី​មុនជន‌ជាតិ​យេប៊ូស​ជា​ម្ចាស់​ស្រុក​រស់​នៅ​ក្រុង​នោះ។
1CH 11:40	លោក​អ៊ីរ៉ា អ្នក​ស្រុក​យេធើរ លោក​ការេប អ្នក​ស្រុក​យេធើរ
1CH 11:41	លោក​អ៊ូរី​ជា​ជន‌ជាតិ​ហេត លោក​សាបាដ​ជា​កូន​របស់​លោក​អឡាយ
1CH 11:42	លោកអឌីណាជាកូនរបស់លោកស៊ីសា​ ពីកុលសម្ព័ន្ធរូបេន (គាត់ជាមេដឹកនាំនៃកុលសម្ព័ន្ធរូបេន) គាត់មានទាហានសាមសិបនាក់នៅជាមួយ
1CH 11:43	លោកហាណានជាកូនរបស់លោកម៉ាកា លោកយូសាផា អ្នកស្រុកមីតនី
1CH 11:44	៤៤ លោកអ៊ូស៊ីយ៉ា ជាអ្នកស្រុកអាសថារ៉ូត លោកសាម៉ានិងលោកយេហ៊ីអែល ជាកូនរបស់លោកហូថាម ជាអ្នកស្រុកអារ៉ូអើរ។
1CH 11:45	លោកយេឌីអែល ជាកូនលោកស៊ីមរី ព្រមទាំងលោកយ៉ូហា(ជាប្អូនរបស់លោកជាអ្នកស្រុកធីសា)
1CH 11:46	លោក​អេលាល អ្នក​ស្រុក​ម៉ាហា‌វី លោក​យេរី‌បាយ និង​លោក​យ៉ូសា‌វា ជា​កូន​របស់​លោក​អែល‌ណាម លោក​យីតម៉ា​ជា​ជន‌ជាតិ​ម៉ូអាប់
1CH 11:47	លោក​អេលាល លោក​អូបេដ និង​លោក​យ៉ា‌សៀល អ្នក​ស្រុក​មេសូ‌បៃ។
1CH 11:5	អ្នក​ក្រុង​យេប៊ូស​ពោល​មក​កាន់​ព្រះ‌បាទ​ដាវីឌ​ថា៖ «អ្នក​ឯង​ចូល​ក្នុង​ក្រុង​របស់​យើង​មិន​បាន​ទេ»។ ប៉ុន្តែ ព្រះ‌បាទ​ដាវីឌ​វាយ​យក​បាន​បន្ទាយ​នៅ​ភ្នំ​ស៊ីយ៉ូន ដែល​ក្រោយ​មក​ហៅ​ថា «ក្រុងព្រះ‌បាទ​ដាវីឌ»។
1CH 11:6	ព្រះ‌បាទ​ដាវីឌ​មាន​រាជ‌ឱង្ការ​ថា៖ «ប្រសិន​បើ ​អ្នក​ណា​ម្នាក់ហ៊ានចេញទៅវាយពួក​យេប៊ូស​មុន​គេ អ្នក​នោះ​នឹង​បាន​ធ្វើ​ជា​មេ‌ទ័ព»។ លោក​យ៉ូអាប់ ជា​កូន​របស់​អ្នក​ស្រី​សេរូយ៉ា ចេញ​ទៅ​វាយ​មុន​គេ ហើយ​បាន​ទទួល​តំណែង​ជា​មេ‌ទ័ពមែន។
1CH 11:7	ព្រះបាទដាវីឌគង់នៅបន្ទាយនោះ ហេតុនោះគេក៏ហៅទីនោះថា «ក្រុងព្រះបាទដាវីឌ»។
1CH 11:8	ព្រះករុណាពង្រីកទីក្រុងចាប់តាំងពីមីឡូរហូតដល់ជាយក្រុង។លោកយ៉ូអាប់បានជួសជុលកន្លែងផ្សេងទៀតនៃទីក្រុង។
1CH 11:9	ព្រះបាទដាវីឌមានអំណាចកាន់តែខ្លាំងឡើងៗ ដ្បិត ព្រះអម្ចាស់នៃពិភពទាំងមូលគង់នៅជាមួយ។
1CH 12:1	អ្នកទាំងនេះបានមកគាល់ព្រះបាទដាវីឌ នៅ​គ្រា​ដែល​ព្រះ‌បាទ​ដាវីឌ​ភៀស​ខ្លួន​ទៅ​ស៊ីគ‌ឡាក់ ដើម្បី​រត់​គេច​ពី​ព្រះ‌បាទ​សូល ជា​បុត្រ​របស់​លោក​គីស។ អ្នក​ទាំង​នោះ​សុទ្ធ​តែ​ជា​ទាហាន​អង់‌អាច ហើយ​ត្រៀម​ខ្លួន​ចេញ​ប្រយុទ្ធ​រួម​ជា​មួយ​ព្រះ‌បាទ​ដាវីឌ​ជានិច្ច។
1CH 12:10	លោក​មីស‌ម៉ា‌ណា​ជា​មេ​ទី​បួន លោក​យេរេ‌មី​ជា​មេ​ទី​ប្រាំ
1CH 12:11	លោក​អថាយ​ជា​មេ​ទី​ប្រាំ​មួយ លោក​អេលាល​ជា​មេ​ទី​ប្រាំ‌ពីរ
1CH 12:12	លោក​យ៉ូហាណាន​ជា​មេ​ទី​ប្រាំ​បី លោក​អែល‌សាបាដ​ជា​មេ​ទី​ប្រាំ​បួន
1CH 12:13	លោក​យេរេ‌មី​ជា​មេ​ទី​ដប់ និង​លោក​ម៉ាបាណាយ​ជា​មេ​ទី​ដប់​មួយ។
1CH 12:14	ពួកគេមកពីកុលសម្ព័ន្ធកាដ ហើយសុទ្ធតែជានាយទាហាន។ អ្នកតូចបំផុតជាមេលើមួយរយនាក់ ហើយអ្នកធំបំផុតជាមេលើមួយពាន់អ្នក។
1CH 12:15	ពួកគេបានឆ្លងទន្លេយ័រដាន់នៅខែទីមួយ គឺរដូវដែលទឹកទន្លេឡើងលិចច្រាំងអស់ ហើយវាយពួកអ្នកដែលរស់នៅតាមជ្រលងភ្នំទាំងខាងកើតនិងខាងលិចឲ្យបាក់់ទ័ពអស់។
1CH 12:16	មានអ្នកខ្លះពីកុលសម្ព័ន្ធបេនយ៉ាមីន និងកុលសម្ព័ន្ធយូដា​បានមកឯព្រះបាទដាវីឌដល់ជម្រកនោះដែរ។
1CH 12:17	ព្រះបាទដាវីឌក៏ចេញទៅទទួលពួកគេ ហើយមានព្រះរាជឱង្កាថា៖ «ប្រសិនបើ អស់លោកមកឯខ្ញុំដោយសន្តិភាព ដើម្បីជួយខ្ញុំ ខ្ញុំសូមទទួលដោយស្មោះពីចិត្ត។ ប៉ុន្តែប្រសិនបើ អស់លោកមកបន្លំខ្លួន ហើយធ្វើការឲ្យសត្រូវរបស់ខ្ញុំ នោះសូមឲ្យព្រះនៃបុព្វបុរសរបស់យើងបានធ្វើជាសាក្សី ហើយដាក់ទោសអស់លោកចុះ ពីព្រោះខ្ញុំមិនបានធ្វើអ្វីខុសទេ»។
1CH 12:18	ពេល​នោះព្រះ‌វិញ្ញាណ​ក៏​មក​សណ្ឋិត​លើ​លោក​អម៉ា‌សាយ ដែល​ជា​មេ​លើ​ក្រុម​ទាំង​សាម‌សិប​នាក់ លោក​ពោល​ថា៖ «បពិត្រ ព្រះ‌បាទ​ដាវីឌ ជា​បុត្រ​របស់​លោក​អ៊ីសាយអើយ! យើង​ខ្ញុំ​ទាំង​អស់​គ្នា​ស៊ូ​ប្ដូរ​ផ្ដាច់​នៅ​ជា​មួយ ព្រះ‌ករុណា​ហើយ។ សូម​ឲ្យ​សេចក្ដី​សុខ‌សាន្ត​កើត​មាន​ដល់​ព្រះ‌ករុណា និង​អស់​អ្នក​ដែល​នៅ​ជា​មួយ​ព្រះ‌ករុណា!។ ដ្បិត ​ព្រះ​របស់​ព្រះ‌ករុណាបាន​ជួយ​ព្រះ‌ករុណា​ហើយ!»។ ព្រះ‌បាទ​ដាវីឌ​ក៏​ទទួល​ពួក​គេ ហើយ​តែង‌តាំង​ពួក​គេ ឲ្យ​ធ្វើ​ជា​នាយ​ទាហាន​ក្នុង​កង‌ទ័ព​របស់​ព្រះអង្គ។
1CH 12:19	មាន​ទាហាន​ពីកុល‌សម្ព័ន្ធ​ម៉ាណា‌សេ ​បានមកសុំ​ចុះ​ចូល​ខាង​ព្រះ‌បាទ​ដាវីឌ ក្នុង​ពេល​ដែល​ស្ដេច​លើក​ទ័ព​ចេញ​ទៅ​ជា​មួយ​ពួក​ភីលីស្ទីន ដើម្បី​ ច្បាំង​នឹង​ព្រះ‌បាទ​សូល។ ប៉ុន្តែ ទ័ព​របស់​ព្រះ‌បាទ​ដាវីឌ​ពុំ​បាន​ចូល​រួម​ច្បាំង​ទេ ព្រោះ​ពួក​មេលើជន‌ជាតិ​ភីលីស្ទីន​បាន​ពិគ្រោះ​គ្នា រួចបញ្ជូន​ទ័ព​របស់​ព្រះ‌បាទ​ដាវីឌ​ឲ្យ​វិល​ត្រឡប់​ទៅ​វិញ ដោយ​គិត​ថា៖ «បើ​ដាវីឌ​ចូល​ដៃ​ជា​មួយ​ស្ដេច​សូល ជា​ម្ចាស់​របស់​គេ នោះ​ពួក​គេ​មុខ​ជា​បំផ្លាញ​យើង​ទាំង​អស់​គ្នា​មិន​ខាន»។
1CH 12:2	ពួក​គេ​ប្រដាប់​ខ្លួន​ដោយ​ធ្នូ ហើយ​ស្ទាត់​ជំនាញ​ខាង​បាញ់​ព្រួញ ឬ​បាញ់​ដង្ហក់ ដោយអាចប្រើបានទាំងដៃឆ្វេង និងដៃស្តាំ។ អ្នក​ទាំង​នោះ​សុទ្ធ​តែ​ជា​សាច់‌ញាតិ​របស់​ព្រះ‌បាទ​សូល ក្នុង​កុល‌សម្ព័ន្ធ​បេន‌យ៉ាមីន។
1CH 12:20	ពេលព្រះបាទដាវីឌ ត្រឡប់មកស៊ីគឡាក់ មានពួកនាយ​ទាហាន​ពី​កុល‌សម្ព័ន្ធ​ម៉ាណា‌សេ បាន​មក​សុំ​ចុះ​ចូល​ខាង​ព្រះ‌បាទ​ដាវីឌ មាន​លោក​អ័ឌ‌ណា លោក​យ៉ូសា‌បាដ លោក​យេឌី‌អែល លោក​មីកែល លោក​យ៉ូសា‌បាដ លោក​អេលី‌ហ៊ូវ និង​លោក​ស៊ីល‌តាយ។ អ្នក​ទាំង​នោះ​សុទ្ធ​តែ​ជា​មេ​លើ​កង‌ពល​ធំ ក្នុង​កុល‌សម្ព័ន្ធ​ម៉ាណា‌សេ។
