[P, G] إسا[L]إسا|[P, G] إِسَّا[L]إِسَّا	<ol style="listStyleType: circle;"><li style="">now, just now                                                         ;in Iraq this is said هَسَّا[pronunciation: [P, G] ʔissa]</li></ol>
آفة|آفِة	<ol style="listStyleType: circle;"><li style="">epidemic, scourge, bane, evil                            ;[pronunciation: ʔāfe،ʔāfāt]</li> <li style="">pest, disease (in agriculture)                            ;[pronunciation: ʔāfe،ʔāfāt]</li> <li style="">pest (as an insult)</li></ol>
آكل|آكِل	<ol style="listStyleType: circle;"><li style="">eater (of)</li></ol>
آكلة|آكْلِة	<ol style="listStyleType: circle;"><li style="">a type of disease, perhaps skin cancer or gangrene. In Ca this is آكِلَة  ;</li></ol>
آلة|آلِة	<ol style="listStyleType: circle;"><li style="">tool, implement, instrument, apparatus ;</li> <li style="">machine</li> <li style="">machine, apparatus, instrument                            ;[pronunciation: ʔāle،ʔālāt]</li> <li style="">آلَاْت : machinery</li> <li style="">آلَاْت : movement, works (the moving parts of a mechanism, especially a clock or watch)</li> <li style="">أَوَاْيِل : movement, works (i.e. the operative part of a machine, especially a clock)</li></ol>
آلش|آلَش	<ol style="listStyleType: circle;"><li style="">to break in (ه = a car)</li></ol>
آمر|آمَر	<ol style="listStyleType: circle;"><li style="">to argue with (ه = s.o.)                                                                                                                                                               ;the Druze say it with the ق, under the assumption that it's origin is ق and that the city folk have simply softened the ق as they tend to do in their dialect.</li></ol>
آمن|آمِن	<ol style="listStyleType: circle;"><li style="">safe                             ;[pronunciation: ʔāmen،ʔāmne]</li> <li style="">peaceful                             ;[pronunciation: ʔāmen،ʔāmne]</li></ol>
آمن|آمَن	<ol style="listStyleType: circle;"><li style="">to believe (ب = in)                                                                                                                                                        ;(this is usually used for religious belief, whereas the word صَدَّق, often said سَدَّق, is used for to believe someone);[pronunciation: ʔāman، yºʔāmen]</li> <li style="">to believe in, have confidence in (ل = s.o. / s.th.)</li> <li style="">to believe (ب = in s.th.)</li></ol>
آمنالمؤنث: آمنة|آمِنالمؤنث: آمْنِة	<ol style="listStyleType: circle;"><li style="">safe ;</li></ol>
آن	<ol style="listStyleType: circle;"><li style="">time                                                                                                                                                                                           ;(this is CA only, but will be heard in the media in phrases such as الآن (now). It is not used casually. هَلَّق should be used in colloquial for now);[pronunciation: ʔān، ʔawān][keyword]</li></ol>
آنس|آنَس	<ol style="listStyleType: circle;"><li style="">to keep (someone) company                                ;[pronunciation: ʔānas، yºʔānes]</li></ol>
آنسة|آنِسِة	<ol style="listStyleType: circle;"><li style="">young lady                                ;[pronunciation: ʔānise،ʔānisāt]</li> <li style="">form of address or reference to a young, unmarried woman: Miss                                ;[pronunciation: ʔānise،ʔānisāt]</li></ol>
آني|آنِي	<ol style="listStyleType: circle;"><li style="">present, current</li> <li style="">immediate</li> <li style="">simultaneous</li></ol>
آه	<ol style="listStyleType: circle;"><li style="">Oh</li> <li style="">yes (affirmative response)                     ;[pronunciation: ʔᾱᴴ]</li></ol>
آهل|آهِل	<ol style="listStyleType: circle;"><li style="">populated</li></ol>
آوى|آوَى	<ol style="listStyleType: circle;"><li style="">اِبِن آوَى : jackal</li> <li style="">to house (ه = s.o.), to put up (ه = s.o.)</li></ol>
آي	<ol style="listStyleType: circle;"><li style="">ow!, ouch! (expression of pain)</li></ol>
آية|آيِة	<ol style="listStyleType: circle;"><li style="">sign (from God)                             ;[pronunciation: ʔāye، ʔāyāt]</li> <li style="">verse in the Qur'an (because every verse is said to be a sign from God)                             ;[pronunciation: ʔāye، ʔāyāt]</li></ol>
أ|أَ	<ol style="listStyleType: circle;"><li style="">(the sound /ʔa/)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;The “Olive Branch” dictionary gives an interesting explanation of this, focusing on its phonetic quality asaprefix in the following three situations (as applies to the Palestinian dialect):1. Prefix indicating the past tense of the form أفعل (a pattern that largely has disappeared from the Levantine colloquials). Ex: أَهْمَل (he neglected).2. Prefix indicating the comparative / superlative; (such as أَكْبَر and أَحْلَى).3. Prefix indicating the first person singular (I) of the verb in the imperfect tense. Note that if preceded byaconsonant, the full hamza is preserved, whereas if preceded byavowel, the hamza is swallowed and only the fatha remains. Also, when preceded by ب of the imperfect tense (habitual mood), the hamza is again swallowed by the fatha retained. As in:biddy afuut (بدي اْفُوت) = I want to come in3a∫aan 2afuut (عشان أَفُوت ) = so that I can go inlaazem 2afuut (لازِم أَفُوت) = I must go inbakteb (بَكْتِب) = I writebat3allam (بَتْعَلَّم) = I learn[pronunciation: ʔa]</li> <li style="">not, do not, don't (prefix added to verbs and prepositions, with the suffix ش, to negate the verb or preposition).                   [pronunciation: ʔa]</li></ol>
أب|أَب	<ol style="listStyleType: circle;"><li style="">father                                                                                                                          ;(the colloquial form isأَبّ, or in Lebanon بَيّ , and when it is part of an إضافة it is said أَبُو );[pronunciation: ʔab]</li></ol>
أب|أَبّ	<ol style="listStyleType: circle;"><li style="">father                                                                                                                                                                                                         ;(note the addition of the شدة is a colloquial invention. in CA this is just أب and is one of the five nouns that takes love vowel as a case ending);[pronunciation: ʔabb،ʔabbahāt، [CA] ʔabāʔÅ][keyword]</li> <li style="">father (clerical title)</li> <li style="">dad, father</li></ol>
أبا|أَبَا	<ol style="listStyleType: circle;"><li style="">children's language: father ;</li></ol>
أباد|أَبَاد	<ol style="listStyleType: circle;"><li style="">to exterminate, wipe out (ه = s.th.)                       ;[pronunciation: ʔabād]</li></ol>
أبح|أَبَحّ	<ol style="listStyleType: circle;"><li style="">(see example)</li></ol>
أبحر|أَبْحَر	<ol style="listStyleType: circle;"><li style="">to set sail</li></ol>
أبخل|أَبخَل	<ol style="listStyleType: circle;"><li style="">stingier / stingiest, more / most miserly                        ;[pronunciation: ʔabḵal]</li></ol>
أبد|أَبَد	<ol style="listStyleType: circle;"><li style="">eternity                                                                                                                                                                    ; (typically used in the negative to mean never, see examples. similar phrases are ما … بْنَوْب = ما … بِالمَرَّة as well بحياة or عمرو ما … )[pronunciation: ʔabad]</li> <li style="">(as a response)         [keyword]</li></ol>
أبدع|أَبْدَع	<ol style="listStyleType: circle;"><li style="">to create, invent (ه = s.th. creative, artistic, etc.)</li></ol>
أبدق|أَبْدَق	<ol style="listStyleType: circle;"><li style="">more/most crafty, cunning, clever ;</li></ol>
أبدى|أَبْدَى	<ol style="listStyleType: circle;"><li style="">more/most important, more/most preferred ;</li> <li style="">to show (ه = s.th.)</li></ol>
أبدي|أَبَدي	<ol style="listStyleType: circle;"><li style="">eternal                                  ;[pronunciation: ʔabady،ʔabadiyye]</li></ol>
أبرد|أَبرَد	<ol style="listStyleType: circle;"><li style="">colder / coldest (for inanimate things)                        ;[pronunciation: ʔabrad]</li> <li style="">more / most unemotional, emotionally cold                        ;[pronunciation: ʔabrad]</li></ol>
أبرز|أَبرَز	<ol style="listStyleType: circle;"><li style="">more / most protruding / sticking out                        ;[pronunciation: ʔabraz]</li> <li style="">more / most prominent, standing out                        ;[pronunciation: ʔabraz]</li> <li style="">to make prominent, accentuate, emphasize, highlight, make stand out (ه = s.th.)                                ;[pronunciation: ʔabraz، yibrez]</li> <li style="">to show, come up with (ه = s.th.)</li></ol>
أبرص|أَبرَص	<ol style="listStyleType: circle;"><li style="">leper, one who has Hansen's disease                                   ;[pronunciation: ʔɑbrɑṣ،burṣ،bɑrṣɑ]</li> <li style="">albino                                   ;[pronunciation: ʔɑbrɑṣ،burṣ،bɑrṣɑ]</li></ol>
أبرق|أَبرَق	<ol style="listStyleType: circle;"><li style="">to flash with lightening                                                                                                                           ;(often used with الدنيا as the subject, as is common with things referring to the weather);[pronunciation: ʔabraq، yibreq]</li></ol>
أبرق|أَبْرَق	<ol style="listStyleType: circle;"><li style="">to cable, send a telegraph                          [pronunciation: [S] ق = ق]</li></ol>
أبرك|أَبرَك	<ol style="listStyleType: circle;"><li style="">more / most blessed                                                                                                                               ;(used when responding to مبروك and other well wishings that include a word from the root برك);[pronunciation: ʔabrak / ʔabrɑk]</li></ol>
أبسط|أَبسَط	<ol style="listStyleType: circle;"><li style="">simpler / simplest                        ;[pronunciation: ʔɑbsɑṭ]</li> <li style="">smaller / smallest, more / most insignificant                        ;[pronunciation: ʔɑbsɑṭ]</li> <li style="">to gladden, make happy, delight (ه = s.o.)                                ;[pronunciation: ʔɑbsɑṭ، yibseṭ]</li></ol>
أبشع|أَبشَع	<ol style="listStyleType: circle;"><li style="">uglier, ugliest, more / most hideous                        ;[pronunciation: ʔabšaʕ]</li></ol>
أبصر|أَبصَر	<ol style="listStyleType: circle;"><li style="">more / most clear sighted, far sighted                        ;[pronunciation: ʔɑbṣɑr]</li> <li style="">more / most insightful, discerning                                                                                                                                                                 ;(often used to mean God knows, I have no clue. In fact, the usage of it is almost more like a noun, as though it were an epithet of God);[pronunciation: ʔɑbṣɑr]</li></ol>
أبصر|أَبْصَر	<ol style="listStyleType: circle;"><li style="">(see example)</li></ol>
أبطش|أَبْطَش	<ol style="listStyleType: circle;"><li style="">(see example)</li> <li style="">flat</li></ol>
أبطل|أَبطَل	<ol style="listStyleType: circle;"><li style="">to cancel, nullify, void (ه = s.th.)                                ;[pronunciation: ʔɑbṭɑl، yibṭel]</li> <li style="">to dismantle, disarm, neutralize (ه = s.th.)                                ;[pronunciation: ʔɑbṭɑl، yibṭel]</li></ol>
أبعد|أَبعَد	<ol style="listStyleType: circle;"><li style="">farther / farthest, further / furthest                                 ;[pronunciation: ʔabʕad][keyword]</li> <li style="">to move away, make distant (ه = s.th., عن = from)                               ;[pronunciation: ʔabʕad، yibʕd]</li> <li style="">to banish, deport, expel, exile drive out (ه = s.o.)                               ;[pronunciation: ʔabʕad، yibʕd]</li> <li style="">to move away, keep away (intransitive)                               ;[pronunciation: ʔabʕad، yibʕd]</li></ol>
أبكر|أَبْكَر	<ol style="listStyleType: circle;"><li style="">sooner / soonest, earlier / earliest</li></ol>
أبلق|أَبْلَق	<ol style="listStyleType: circle;"><li style="">see example ;</li></ol>
أبلم|أَبْلَم	<ol style="listStyleType: circle;"><li style="">stupid (بليد )</li></ol>
أبن|أَبَّن	<ol style="listStyleType: circle;"><li style="">to eulogize, deliver a funeral oration                                   ;[pronunciation: ʔabban، yºʔÁabben]</li></ol>
أبها|أُبَّهَا	<ol style="listStyleType: circle;"><li style="">magnificence, splendor                                                   ;(often used adjectivally);[pronunciation: ʔubbaha]</li></ol>
أبهر|أَبْهَر	<ol style="listStyleType: circle;"><li style="">one who is unable to see in strong light ;</li></ol>
أبهية|أُبَّهِيَّة	<ol style="listStyleType: circle;"><li style="">arrogance, pomposity                       ;in Ca this is أُبَّهَة</li></ol>
أبو|أَبُو	<ol style="listStyleType: circle;"><li style="">father (of)(this form is often used in إضافة structures)                                                                                                                                                                                                                           ;(fathers are often referred to by the name of their oldest son, as inأبومحمد);note the following conjugation with suffix pronouns:أَبُويأبوكأوبكِأَبُوهأبوهاأبوناأبوكم / أبكوأبوهُم / أبوهِن[pronunciation: ʔabu][keyword]</li> <li style="">the one with, having                                                                                                                                                                                                                                  ;This word is often used in phrases showing possession of a certain quality (for men, whereas for women it would أم). It can be used with almost anything, including numbers to show cost or value);[pronunciation: ʔabu][keyword]</li> <li style="">أَبُوْنَا : Our Father (title and form of address when referring to / addressing a priest)                      ;[pronunciation: ʔabu]</li></ol>
أبوة[S] أبوة|أُبُوِّة[S] أُبُوِّة	<ol style="listStyleType: circle;"><li style="">fatherliness, fatherhood                         ;[pronunciation: ʔubuwwe]</li></ol>
أبيض|أَبيَض	<ol style="listStyleType: circle;"><li style="">blank, not filled out</li> <li style="">white, white-colored                                                         ;[pronunciation: ʔabyɑḍ،bīḍ / [P, J] buyoḍ،bēḍɑ][keyword]</li></ol>
أتات|أَتَات	<ol style="listStyleType: circle;"><li style="">furniture                                    ;[pronunciation: ʔatāt / [CA] ʔaθāθ]</li></ol>
أتاوة|أَتَاْوِة	<ol style="listStyleType: circle;"><li style="">tribute</li></ol>
أتت|أَتَّت	<ol style="listStyleType: circle;"><li style="">to furnish (ه = s.th.)                                   ;[pronunciation: ʔattat، yºʔ¨attet]</li></ol>
أتخن|أَتخَن	<ol style="listStyleType: circle;"><li style="">thicker / thickest                        ;[pronunciation: ʔatḵan]</li></ol>
أتر|أَتَر	<ol style="listStyleType: circle;"><li style="">track, sign, trace                                                  ;[pronunciation: ʔatɑr / ʔatᵉr / [CA] ʔaθɑr،ʔāθᾱr]</li> <li style="">plural noun آثار : archaeological ruins                                                  ;[pronunciation: ʔatɑr / ʔatᵉr / [CA] ʔaθɑr،ʔāθᾱr]</li></ol>
أتعب|أَتعَب	<ol style="listStyleType: circle;"><li style="">to tire out, tire, wear out (ه = s.o.)                                ;[pronunciation: ʔatʕab، yitʕeb]</li></ol>
أتقل|أَتقَل	<ol style="listStyleType: circle;"><li style="">heavier, heaviest                        ;[pronunciation: ʔatqal]</li></ol>
أتقن|أَتقَن	<ol style="listStyleType: circle;"><li style="">to be proficient in, know well, master (ه = s.th.)                                         ;[pronunciation: ʔatʠan، yitʠen[S] ق = ء]</li></ol>
أتقى|أَتقَى	<ol style="listStyleType: circle;"><li style="">more / most devout, religious, pious                       ;[pronunciation: ʔatqa]</li></ol>
أتلج|أَتلَج	<ol style="listStyleType: circle;"><li style="">to snow                                                                                                                               ;(usually in the feminine, أَتْلَجَت، تِتْلِج , because the subject of weather verbs is الدنيا);[pronunciation: ʔatlaj، yitlej]</li></ol>
أتلف|أَتْلَف	<ol style="listStyleType: circle;"><li style="">to destroy (ه = s.th.)</li></ol>
أتمن|أَتمَن	<ol style="listStyleType: circle;"><li style="">more / most valuable, precious                        ;[pronunciation: ʔatman]</li></ol>
أثأب|أَثْأَب	<ol style="listStyleType: circle;"><li style="">sacred fig, peepal tree (Ficus religiosa)</li></ol>
أثار|أَثَار	<ol style="listStyleType: circle;"><li style="">to cause, create, provoke, arouse, excite, raise, stimulate (ه = s.th.)                                      [pronunciation: ʔaθᾱr، yºθīr][keyword]</li></ol>
أثبت|أَثبَت	<ol style="listStyleType: circle;"><li style="">more / most fixed, firm, steady                        ;[pronunciation: ʔaθbat]</li> <li style="">to prove, establish (ه = s.th.)                                ;[pronunciation: ʔaθbat، yiθbet]</li></ol>
أثر|أَثَر	<ol style="listStyleType: circle;"><li style="">touch of (e.g. of the flu), trace, trace amount (often in the plural), vestige</li> <li style="">track</li> <li style="">evidence, clue</li> <li style="">آثَاْر : ruins</li></ol>
أثر|أَثَّر	<ol style="listStyleType: circle;"><li style="">to influence, affect (على / في = s.th.)                                                                                                                                                                                                                                                                                                                          ; (often to refer to emotions, like to sway s.o., emotionally touch s.o.)(In CA, the difference between على and في is that على is more superficial, less deep, and في is more of a deeper influence. However, this is not always abided by in colloquial);[pronunciation: ʔaθθɑr / ʔattɑr، yºʔ¨aθθer / yºʔ¨atter][keyword]</li> <li style="">to mark, place a mark (على = on s.th.)</li></ol>
أثري|أَثَري	<ol style="listStyleType: circle;"><li style="">archaeological                                  ;[pronunciation: ʔaθary،ʔaθariyye]</li></ol>
أثنا|أَثْنَا	<ol style="listStyleType: circle;"><li style="">during, in the course of         [keyword]</li></ol>
أثنى|أَثْنَى	<ol style="listStyleType: circle;"><li style="">to praise, to hail, to commend, to speak highly of (على = s.o. / s.th.)</li></ol>
أثير|أَثِيْر	<ol style="listStyleType: circle;"><li style="">ether</li></ol>
أجا|أَجَا	<ol style="listStyleType: circle;"><li style="">to come (ه = to s.o./s.th., or ل / على )                          ; (more examples)[keyword]</li> <li style="">to come (ه = to s.o./s.th., or ل / على )                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;note the conjugation (Palestinian):Past:jīt / 'ᵉjīt, jīti / 'ᵉjīti, 2aja / 2ija, jīna / 'ᵉjīna, jītu / 'ᵉjītu, 2aju / 2ijuPresent with ب :bāji, btīji, bīji, bnīji / mnīji, btīju, bījuPresent without ب:2āji, tīji, yīji, nīji, tīju, yījuActive Participle is the imperfective aspect (-ing form):jāy, jāy / jāye, jāyīnجاي، جاي / جايِة، جايِينthe participle is also used as an adjective with different meanings. The non-verbal meanings are included under a separate entry;(In Damascus and some areas, the active participle is said جايِة /jaaye/ for both for both masculine and feminine. It is somewhat misleading to write it with a ـة , but the point is that the vowel at the end is always the same. For the masculine it may be more to avoid ending a word with just /y/, and the feminine might be a true ـة . this dictionaries tries to keep the spelling separate as جايِ and جايِة .)(for imperative see تَعَى)Note the imperative comes from a different word altogether:تَعَال، تَعَالِي، تَعَالُواnote conjugation (lebanese):huwwe ija, yijihiyyi ijit, tijihinni iju, yijuinta jiit, tijiinti jiiti, tijiintu jiitu, tijuana jiit, ijiniHna jiina, nijinote that the imperative form of this word is not used, but rather the word تَعَى[pronunciation: ʔaja / [P, G] ʔija / ja، yijy][keyword]</li> <li style="">إِجَا على بال : to care to, want to, be in the mood to</li> <li style="">to come (بعد = after), to follow (بعد = after)</li> <li style="">to side (مع = with)</li> <li style="">to suit, fit (على = s.o.)</li> <li style="">to come to (ه = s.o.)</li> <li style="">to be born (ه = to s.o.)</li> <li style="">narrative contour verb: to come (فعل مضارع بدون ب = and do) (emphasizes following action)                                                        ;[pronunciation: ʔaja / [P, G] ʔija / ja، yijy][keyword]</li> <li style="">to come over (ه = s.o.), affect (ه = s.o.)                                              [pronunciation: ʔaja / [P, G] ʔija / ja، yijy]</li></ol>
أجار|أَجَار	<ol style="listStyleType: circle;"><li style="">fee, rent                                                                              ;(العوض الذي يأخذه المالك لِقاء تَمليك المنافِع)[pronunciation: ʔajᾱr،ʔajᾱrᾱt]</li> <li style="">wages                               ;[pronunciation: ʔajᾱr،ʔajᾱrᾱt]</li></ol>
أجبر|أَجْبَر	<ol style="listStyleType: circle;"><li style="">to force (ه = s.o., فعل مضارع بدون علامة = to do s.th.)</li></ol>
أجر|أَجر	<ol style="listStyleType: circle;"><li style="">burying of the deadدفن الميت، وشقون فعلًاآجرأي اشترك في المأتم أو حضر الدفن كأن حُضور المأتمأَجر</li></ol>
أجر|أَجَّر	<ol style="listStyleType: circle;"><li style="">to let, rent out, lease out (ه = s.th.) (with the lessor last the subject)                                  [pronunciation: ʔajjar، yºʔ¨ajjɑr]</li></ol>
أجرة|أُجرَة	<ol style="listStyleType: circle;"><li style="">salary, wages                             ;[pronunciation: ʔujrɑ،ʔujūr]</li> <li style="">rent                             ;[pronunciation: ʔujrɑ،ʔujūr]</li></ol>
أجرد|أَجْرَد	<ol style="listStyleType: circle;"><li style="">bare</li></ol>
أجرودي|أَجْرُودِي	<ol style="listStyleType: circle;"><li style="">beardless, smooth cheeked                                                       ; (من لا ينبت له شعر في ذقنه );[pronunciation: ʔajrūdy]</li></ol>
أجرى|أَجرَى	<ol style="listStyleType: circle;"><li style="">to conduct, carry out, hold (ه = s.th.)                                                                      ;(mainly used in formal speech);[pronunciation: ʔajrɑ، yijry][keyword]</li></ol>
أجعص|أَجْعَص	<ol style="listStyleType: circle;"><li style="">prideful, haughty (مُتَكَبِّر) ;</li></ol>
أجل|أَجَلّ	<ol style="listStyleType: circle;"><li style="">to honor, revere, esteem (ه = s.o.)                                                                                                                                                                                                                          ;(this is a CA term used mainly in the phrase أَجَلَّك , which is more properly أُجِلُّكَ , and is meaning "may your fate not be the same (as what just happened / was mentioned in conversation));[pronunciation: ʔajall]</li></ol>
أجل|أَجَل	<ol style="listStyleType: circle;"><li style="">appointed time, date, deadline ;</li></ol>
أجل|أَجَّل	<ol style="listStyleType: circle;"><li style="">to postpone (ه = s.th.)                        ;[pronunciation: 2ajjal]</li> <li style="">to postpone, put off (ه = s.th., ل = until)                                   ;[pronunciation: ʔajjal، yºʔ¨ajjel]</li></ol>
أجل(أجل)|أَجِل(أَجْل)	<ol style="listStyleType: circle;"><li style="">لِأَجِل / لِأَجْلِ + اسم : either 1. for the sake of, or 2. because of                       ;[pronunciation: ʔajᵉl]</li></ol>
أجلى|أَجلَى	<ol style="listStyleType: circle;"><li style="">to remove, evacuate (ه = people)                              ;[pronunciation: ʔajla، yijly]</li></ol>
أجلى|أَجْلَى	<ol style="listStyleType: circle;"><li style="">to evacuate (ه = people)</li></ol>
أجلي|أَجَلِي	<ol style="listStyleType: circle;"><li style="">eternal</li></ol>
أجلية|أَجَلِيِّة	<ol style="listStyleType: circle;"><li style="">eternity</li></ol>
أجمل|أَجمَل	<ol style="listStyleType: circle;"><li style="">more / most beautiful                        ;[pronunciation: ʔajmal]</li></ol>
أجنبي|أَجنَبي	<ol style="listStyleType: circle;"><li style="">foreign                                            ;[pronunciation: ʔajnaby،ʔajāneb،ʔajnabiyye]</li> <li style="">foreigner, alien                                            ;[pronunciation: ʔajnaby،ʔajāneb،ʔajnabiyye]</li></ol>
أجنـن|أَجْنَـن	<ol style="listStyleType: circle;"><li style="">more/most crazy ;</li></ol>
أجهد|أَجْهَد	<ol style="listStyleType: circle;"><li style="">to make exert effort, strain, put under strain (ه = s.th.)</li></ol>
أجوى|أَجْوَى	<ol style="listStyleType: circle;"><li style="">dirtier / dirtiest ;</li></ol>
أجيج|أَجِيْج	<ol style="listStyleType: circle;"><li style="">glow</li></ol>
أجير|أَجِيْر	<ol style="listStyleType: circle;"><li style="">salaried worker, employee                              ;[pronunciation: ʔajīr،ʔujɑrɑ]</li> <li style="">farm hand</li></ol>
أح|أَح	<ol style="listStyleType: circle;"><li style="">phrase of surprise, for instance said in reaction to something hot or cold</li></ol>
أح|أَحّ	<ol style="listStyleType: circle;"><li style="">to cough ;</li></ol>
أحاط|أَحَاْط	<ol style="listStyleType: circle;"><li style="">to attend (ب = s.th.)</li></ol>
