#desc	English to Khmer Dictionary from <a href="https://play.google.com/store/apps/details?id=com.sonveasna.dictionary&hl=en">English Khmer Dictionary</a> by DroidSVS
#priority	2
#en	ipa	khph	desc	tags
abase	ə'beɪs	អឹ 'បេស	<ul><li><p-n>(transitive verb)</p-n>~ oneself/sb <p-l>@បន្ទាបបន្ថោក, បញ្ចុះ, បន្ថយឋានះ, ស្រុត, ធ្លាក់ចុះ, </p-l><p-n>(figurative)</p-n><p-l>@បំបាត់មុខ, ចុះទាប, ដាក់ខ្លួន </p-l>abase oneselt&nbsp;<p-l>@បន្ថោកខ្លួន, ដាក់ខ្លួន, បន្ទាបយសសក្តិ</p-l></li></ul>Synonyms <ul><li>abase<p-n>(verb)</p-n><p-l> @បន្ទាប, ទម្លាក់ចុះ, ពង្រូតចុះ, បញ្ចុះ, ធ្លាក់ចុះ</p-l> debase<p-l> @បន្ទាប, បញ្ចុះ</p-l> degrade <p-l>@បកស័ក្តិ, ធ្វើអោយខុច ឬ ថោក</p-l> demote<p-l> @បញ្ចុះស័ក្តិ</p-l> depose <p-l>@ទម្លាក់</p-l> devaluate <p-l>@បញ្ចុះតម្លៃ (នៃរូបិយបវត្ថុ)</p-l> discredit <p-l>@ធ្ចើអោយខូចកិត្តិយស</p-l> humble <p-l>@ផ្ចាញ់, ដាក់ ឬ បន្ទាបខ្លួន</p-l> lower <p-l>@ធ្វើអោយទាបឡើង, បញ្ចុះ, ធ្វើអោយចុះ, បង្អន់, ឳន</p-l> mortify<p-l> @ធ្ចើអោយអាប់មុខ, បំបាត់មុខ</p-l> reduce <p-l>@បញ្ចុះ, បន្ថយ, បង្អង់, ស្រក ឬ ចុះទម្ងន់</p-l> belittle <p-l>@និយាយមើលងាយ</p-l> deflate<p-l> @បញ្ចេញខ្យល់, បន្ធូរ, បញ្ចុះតម្លៃ,  ធ្ចើអោយបាក់មុខ</p-l> denigrate <p-l>@បន្តុះបង្អាប់, និយាយបង្ខូច, និយាយបង្កាច់</p-l> depreciate<p-l> @ចុះថ្លៃ, បញ្ចុះថ្លៃ, និយាយមើលងាយ, បន្ថោក</p-l> disparage <p-l>@បង្អាប់</p-l> downgrade&nbsp;<p-l> @បន្ថោក,&nbsp; បញ្ចុះតម្លៃ </p-l>put down <p-l>@បង្អាប់,&nbsp;បន្តុះ,&nbsp;បន្ថោក</p-l> revile <p-l>@ជេរប្រមាថ</p-l> vituperate <p-l>@ស្តីបន្ទោស, ប្រមាថ, ធ្វើអោយក្តៅក្រហាយ</p-l> </li></ul>	transitive verb
abasement	ə'beɪsmənt	អឹ 'បេសម៉ឹនថ៍	<ul><li><p-n>(noun)</p-n>by~ <p-l>@ការបន្ថោក, ការបញ្វុះ</p-l></li></ul>	noun
abash	ə'bæ	អឹ 'ប៊ែស្ហ	<ul><li><p-n>(transitive)</p-n><p-l>@ធ្វើអោយខ្មាស់, ធ្វើអោយច្របល់គ្នា, បំផ្លាញ</p-l></li></ul>	transitive verb
abashed	ə'bæ	អឹ 'ប៊ែស្ហថ៍	<ul><li><p-n>(adjective)</p-n>~ <p-n>(at/by sth)</p-n><p-l>@ខ្មាសអៀន, ដែលអាមាសមុខ, ដែលច្រលំបល់, ដែលលាយឡំ, ដែលឡប់</p-l></li></ul>	adjective
abate	ə'beɪt	អឹ 'បេតថ៍	<ul><li><p-n>(intransitive verb)</p-n><p-l>@ស្រាក, អន់, បន្ថយ, បង្អន់</p-l></li><li><p-n>(transitive verb)</p-n><p-l>@. ធ្វើអោយថយ, ធ្វើអោយចុះ, បន្ថយថ្លៃ, បំបាត់, បញ្ចុះ </p-l></li></ul>	intransitive verb
abatement	'ə'beɪtmənt	អឹ 'ប៊ែតម៉ឹនថ៍	<ul><li><p-n>(noun)</p-n><p-l>@ការស្រាក, ការបន្ថយ, ការបង្អន់, ការរំងាប់, ការបំបាត់, ការបញ្ចុះ, ការបញ្ចុះតម្លៃ, ការបន្ថយថ្លៃ </p-l>abatement of action<p-l> @ការបដិសេធចោល​បណ្តឹង, ការលើកចោលបណ្តឹង</p-l></li></ul>	noun
abattoir	æ'bətwɑ:(r)	អ៊ែបឹថ្វា(រ)	<ul><li><p-n>(noun)</p-n><p-l>@ទីកន្លែងសម្លាប់សត្វ, ទីសត្តឃាត</p-l></li></ul>	noun
abbacy	'æbəsɪ	'អ៊ែបឹស៊ី	<ul><li><p-n>(noun)</p-n><p-l> @សក្តិយស, សេចក្តីថ្លៃថ្នូរ</p-l></li></ul>	noun
abbess	'æbes	'អ៊ែប៊ីស	<ul><li><p-n>(noun)</p-n><p-l>@(ស្រ្តី) ប្រធានវត្តគ្រប់គ្រងយាយជី ឬ អ្នកគ្រប់គ្រងដូនជី</p-l></li></ul>	noun
abbey	'æbɪ	'អ៊ែប៊ី	<ul><li><p-n>(noun)</p-n><p-l>@វត្តខាងសាសនាគ្រិស្តឬវិហារសាសនាគ្រិស្ត</p-l></li></ul>	noun
abbot	'æbət	'អ៊ែបឺតថ៍	<ul><li><p-n>(noun)</p-n><p-n>(French)</p-n><p-l>@អាប្បេ</p-l> <p-n>(General)</p-n><p-l>@ចៅអធិការវត្តនៃសាសនាគ្រិស្ត </p-l></li></ul>	noun
abbreviate	ə'bri:vɪeɪt	អឹប្រ៊ីវិ អេតថ៍	<ul><li><p-l>@(transitive verb). ~ sth (to sth) ១. បំព្រួញ </li><li> សង្ខេប</p-l><br/> ~ a word<p-l> @សរសេរកាត់, បំព្រួញ </p-l></li></ul>	transitive verb
abbreviation	ə,bri:vɪ'eɪʃn	អឹ, ប្រ៊ីវិអេយ៍ស្ហឹន	<ul><li><p-n>(noun)</p-n><p-l> @ពាក្យសរសេរកាត់, សេចក្តីសង្ខេប, ពាក្យបំព្រួញ</p-l><br/> by ~<p-l> @ការសរសេរកាត់, ការបំព្រួញ</p-l></li></ul>	noun
ABC (1)	,əɪbi:'si:	អេយ៍, ប៊ី, ស៊ី	<ul><li><p-n>(noun)</p-n><ol><li><p-l>@អក្ខរាវិរុទ្ធ, សៀវភៅថ្នាក់ដំបូង, អក្សរក្រម </p-l></li><li><p-l> @មូលដ្ឋាននៃប្រធានបទ</p-l></li></ol></li><li>as easy as ABC<p-l> @ស្រួលដូចចេក</p-l> </li></ul>	noun
ABC (2)	,eɪbi:'si:	អេយ៍, ប៊ី, ស៊ី	<ul><li><p-n>(abbreviation)</p-n>.<ol><li> American Broadcasting Company<p-l> @ក្រុមហ៊ុនផ្សព្វផ្សាយវិទ្យុទូរទស្សន៍អាមេរិក </p-l></li><li> Australian Broadcasting Commission<p-l> @គណៈកម្មដារផ្សព្វផ្សាយវិទ្យុទូរទស្សន៍អុស្រា្តលី </p-l></li></ol></li></ul>	abbreviation
abdicate	'æbdɪkeɪt	'អ៊ែបឌិខេតថ៍	<ul><li><p-n>(intransitive verb)</p-n><p-l>@ដាក់រាជ្យ</p-l> <p-n>(-intransitive verb)</p-n><p-l> @បោះបង់</p-l></li></ul>	intransitive verb
abdication	,æbdɪ'keɪʃn	,អ៊ែបឌិ' -ខេយ៍ស្ហឹន	<ul><li><p-n>(noun)</p-n>king's ~ <p-l>@ការដាក់រាជ្យ</p-l></li><li>~ of duty<p-l> @ការបោះបង់ចោល</p-l>​ <p-n>(Figurative)</p-n><p-l> @ការដាក់ធុរៈ </p-l></li></ul>	noun
abdomen	'æbdəmən	'អ៊ែបដឹម៉ឹន	<ul><li><p-n>(noun)</p-n><p-l> @ពោះ</p-l></li></ul>	noun
abdominal	æb'dɒmɪn	'អ៊ែបដមិណល	<ul><li><p-n>(adjective)</p-n>~ surgey<p-l> @នៃពោះ</p-l> abdominal pain <p-l>@ឈឺពោះ, ចុកពោះ</p-l> abdominal surgey <p-l>@ការវះកាត់ពោះ</p-l></li></ul>	adjective
abdominally	æb'dɒmɪnəlɪ	'អ៊ែបដមិណលី	<ul><li><p-n>(​adverb)</p-n><p-l>@តាមពោះ, ដោយពោះ</p-l></li></ul>	adverb
abduct	æb'dʌkt	អ៊ែប​​​​​​​​​​​​​ 'ដាក់ថ៍	<ul><li><p-n>(transitive verb)</p-n><p-l> @ចាប់, យកទៅដោយកម្លាំងពង្រាត់, ចាប់ពង្រត់, ឆក់ពង្រត់, ឆក់យក, លួចនាំរត់</p-l></li></ul>	transitive verb
abduction	æb'dʌkʃn	អ៊ែប​​​​​​​​​​​​​ 'ដាក់ស្ហឹន	<ul><li><p-n>(noun)</p-n><p-l>@ការឆក់យក, ចំណាប់យក, ការចាប់យក</p-l></li></ul>	noun
abductor	æb'dʌktə(r)	អ៊ែប​​​​​​​​​​​​​ 'ដាក់ថឺ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកចាប់ជំរិត, ការឆក់យកទាំងអំណាច, អ្នកនាំពង្រត់ស្រី</p-l></li></ul>	noun
abeam	ə'bi:m	អឹ 'ប៊ីម	<ul><li><p-n>(adjective)</p-n><p-l> @ជ្រុងខាងស្តាំនៃបាតនាវា, ទិសកៃងនិងអក្សនាវាឬយន្តហោះ</p-l></li></ul>	adjective
abed	ə'bed	អឹ 'បឺដ	<ul><li><p-n>(adjective)</p-n><p-l>@ដេក, ទំរេត, លើគ្រែ, ក្នុងដំណេក</p-l> to bring abed<p-l> @ប្រសូត្របុត្រ, កើតកួន</p-l></li></ul>	adjective
aberrant	æ'berənt	អ៊ែបេរ៉ឹនថ៍	<ul><li><p-n>(adjective)</p-n><p-l>@ដែលមិនសូវដូចគេដូចឯង, ដែលពុំអាចទទួលយកបាន, ដែលព្រាត់ប្រាស់, ដែលមិនធម្មតា</p-l> <p-n>(Figurative)</p-n><p-l> @ដែលឃ្លៀងឃ្លាត, ដែលភ្លាំងភ្លាត់</p-l></li></ul>	adjective
aberration	,æbə'reɪʃn	អ៊ែបឹរ៉េយ៍ស្ហឹន	<ul><li><p-n>(noun)</p-n><p-l>@ការភ្លាំងភ្លាត់, ការភាន់គំនិត, ការប្រព្រឹត្តិខុសគន្លង, ភាពពុំធម្មតា, កំរិតខុសគ្នា, ការភាន់ច្រឡំ</p-l></li></ul>	noun
aberrational	,æbə'reɪʃnəl	អ៊ែបឹរ៉េយ៍ស្ហឹនណល	<ul><li><p-n>(adjective)</p-n><p-l>@ដែលមិនដូចគេដូចឯង, ដែលប្លែក, ដែលឃ្លៀងឃ្លាត, ដែលភ្លាំងភ្លាត់</p-l></li></ul>	adjective
abet	ə'bet	អឹ 'បេតថ៍	<ul><li><p-n>(transitive verb)</p-n><p-n>(past tense.past participle. abetted)</p-n>~ sb <p-n>(in sth)</p-n><p-l> @ជំរុញ (អោយប្រព្រឹត្តិបទអាក្រក់), ញុះ​ញង់, សមគំនិត, លើកទឹកចិត្តពន្យុះ ឬ ធ្វើអោយអ្នកណាផ្សេងទៀតប្រព្រឹត្តបទល្មើសអាជ្ញា </p-l></li></ul>	transitive verb
abetment	ə'betmənt	អឹ 'បេតម៉ឹនថ៍	<ul><li><p-n>(noun)</p-n><p-l>@ការសមគំនិត, ការចចូលដៃ, ការញុះញង់, ការជំរុញបន្ថែម</p-l></li></ul>	noun
abettal	ə'betəl	អឹ 'បេតថេល៍	<ul><li><p-n>(noun)</p-n><p-l>@ការញុះញង់បន្ថែម</p-l></li></ul>	noun
abetter	ə'betə(r)	អឹ 'បេតថឺ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកញុះញង់</p-l></li></ul>	noun
abettor	ə'betə(r)	អឹ 'បេតថឺ(រ)	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកចូលដៃ, អ្នកផ្សំគំនិត,ការញុះញង់ ឬ ពន្យុះអ្នកណាផ្សេងទៀតអោយប្រព្រឹត្តបទល្មើសអាជ្ញា</p-l></li></ul>	noun
abeyance	ə'beɪəns	អឹ 'បេយ៍អឹនស៍	<ul><li><p-n>(noun)</p-n><p-l>@ការពន្យាពេល, ការផ្អាក, ការព្យួរ,</p-l> Goods in abeyance <p-l>@ទំនិញគ្មានអ្នកទទួល</p-l> in abeyance <p-l>@ឈប់ប្រើ ឬ ឈប់មួយរយះពេល</p-l></li></ul>	noun
abhor	əb'hɔ:(r)	អឹបហ(រ)	<ul><li><p-l>@(transitive verb). (-rr-). ស្អប់ខ្ពើមជាខ្លាំង, ក្នាញ់</p-l></li><li>abhorrence <p-n>(noun)</p-n><ol><li><p-l> @ការស្អប់ខ្ពើមជាខ្លាំង </p-l></li><li><p-l> @វត្ថុដែលស្អប់ខ្ពើម</p-l></li></ol></li></ul>	transitive verb
abhorrence	əb'hɔ:rəns	អឹបហរ៉ឹនស៍	<ul><li><p-n>(noun)</p-n>.<p-l> @ការស្អប់ខ្ពើមជាខ្លាំង, វត្ថុដែលស្អប់ខ្ពើម</p-l></li></ul>	noun
abhorrency	əb'hɔ:rənsɪ	អឹ' បហរ៉ឹនស៊ី	<ul><li><p-n>(noun)</p-n><p-l>@លក្ខណៈដែលគួរអោយស្អប់ខ្ពើម</p-l></li></ul>	noun
abhorrent	əb'hɒrənt	អឹបហរ៉ឹនថ៍	<ul><li><p-n>(adjective)</p-n>~ (to sb)<p-l> @ដែលគួរអោយស្អប់ខ្ពើម</p-l></li></ul>	adjective
abide	ə'baɪd	អឹ' បាយដ៍	<ul><li><p-n>(intransitive verb)</p-n><p-n>(past tense.past participle. abided)</p-n>1<p-l> @នៅ, រស់នៅ, មានទីលំនៅ </p-l>2 abide by sth <p-l>@ស្មោះត្រង់ចំពោះ, ប្រព្រឹត្តតាម, ធ្វើទៅតាម, គោរពទទួលផលវិបាកនៃអ្វីមួយ, នៅពេញចិត្តនិងអ្វីមួយ, រងចាំអ្វីមួយ</p-l><br/> <p-n>(-transitive verb)</p-n><p-n>(colloquial)</p-n>can't/couldn't ~ him<p-l> @អត់ទ្រាំ, ស៊ូទ្រាំ</p-l> </li><li>abiding <p-n>(-adjective)</p-n><p-l> @ជាប់ជានិច្ច, ដែលជានិរន្ត, ដែលគមានទីបំផុត, ខ្ជាប់ខ្ជួន, អចិន្រ្តិយ៍</p-l></li><li>abiding <p-n>(noun)</p-n><p-l> @លំនៅ, ការអាស្រ័យនៅ</p-l></li><li>abindingly <p-n>(adverb)</p-n>. <p-l>@ដោយជាប់ជានិច្ច, ដោយខ្ជាប់ខ្ជួន</p-l></li></ul>	intransitive verb
abiding	ə'baɪdɪŋ	អឹ បាយឌីង	<ul><li><p-n>(-adjective)</p-n><p-l> @ជាប់ជានិច្ច, ដែលជានិរន្ត, ដែលគមានទីបំផុត, ខ្ជាប់ខ្ជួន, អចិន្រ្តិយ៍</p-l></li><li>&nbsp;<p-n>(noun)</p-n><p-l> @លំនៅ, ការអាស្រ័យនៅ</p-l></li></ul>	adjective
abidingly			<ul><li><p-n>(adverb)</p-n>. <p-l>@ដោយជាប់ជានិច្ច, ដោយខ្ជាប់ខ្ជួន</p-l></li></ul>	adverb
abietic	'æbɪətɪk	'អ៊ែប៊េតធីក	<ul><li><p-n>(adjective)</p-n><p-l>@ដែលចាប់អារម្មណ៍</p-l></li></ul>	adjective
