(19) @PSA 8:4	<p-n>@Salmos 8:4</p-n>	¿De qué importancia es la raza humana para que Tú la notes, o la humanidad para que Tú le prestes atención? 
(19) @PSA 8:5	<p-n>@Salmos 8:5</p-n>	Sin embargo, Tú los has hecho un poco menores que los seres celestiales y los has coronado con gloria y honor.
(19) @PSA 8:6	<p-n>@Salmos 8:6</p-n>	Tú lo haces gobernar sobre las obras de tus manos; Tú has puesto todas las cosas bajo sus pies: 
(19) @PSA 8:7	<p-n>@Salmos 8:7</p-n>	todas las ovejas y bueyes e incluso los animales del campo, 
(19) @PSA 8:8	<p-n>@Salmos 8:8</p-n>	las aves de los cielos y los peces del mar, todo lo que pasa a través de las corrientes de los mares.
(19) @PSA 8:9	<p-n>@Salmos 8:9</p-n>	¡Oh SEÑOR nuestro Dios, cuán magnífico es tu nombre en toda la tierra!
(19) @PSA 9:1	<p-n>@Salmos 9:1</p-n>	Yo le daré gracias al SEÑOR con todo mi corazón; yo hablaré sobre todas tus maravillosas obras. 
(19) @PSA 9:2	<p-n>@Salmos 9:2</p-n>	Yo estaré contento y me regocijaré en Tí; ¡yo cantaré alabanza a tu nombre, oh Altísimo!
(19) @PSA 9:3	<p-n>@Salmos 9:3</p-n>	Cuando mis enemigos retroceden, ellos tropiezan y perecen delante de Tí. 
(19) @PSA 9:4	<p-n>@Salmos 9:4</p-n>	Pues Tú has defendido mi causa justa; ¡Tú te sientas sobre tu trono, juez justo!
(19) @PSA 9:5	<p-n>@Salmos 9:5</p-n>	Tú reprendes a las naciones; Tú has destruido a los malvados; Tú has borrado su nombre por siempre y para siempre. 
(19) @PSA 9:6	<p-n>@Salmos 9:6</p-n>	El enemigo se desmorona como ruinas cuando tu derribas sus ciudades. Todo recuerdo de ellos ha perecido.
(19) @PSA 9:7	<p-n>@Salmos 9:7</p-n>	Pero el SEÑOR permanece por siempre; Él ha establecido su trono por justicia. 
(19) @PSA 9:8	<p-n>@Salmos 9:8</p-n>	Él juzgará el mundo con justicia, y Él ejecutará juicio para las naciones con rectitud.
(19) @PSA 9:9	<p-n>@Salmos 9:9</p-n>	El SEÑOR será una fortaleza para el oprimido, una fortaleza en tiempos de problemas. 
(19) @PSA 9:10	<p-n>@Salmos 9:10</p-n>	Aquellos que conocen Tu nombre confían en Tí, pues Tú, SEÑOR, no abandonas a aquellos que te buscan.
(19) @PSA 9:11	<p-n>@Salmos 9:11</p-n>	Canten alabanzas al SEÑOR, quien gobierna en Sion; díganle a las naciones lo que Él ha hecho. 
(19) @PSA 9:12	<p-n>@Salmos 9:12</p-n>	Pues el Dios que venga el derramamiento de sangre, lo recuerda; Él no olvida el llanto del oprimido.
(19) @PSA 9:13	<p-n>@Salmos 9:13</p-n>	Ten misericordia de mí, oh SEÑOR; ve cómo yo soy oprimido por aquellos que me odian, Tú puedes arrebatarme de las puertas de la muerte. 
(19) @PSA 9:14	<p-n>@Salmos 9:14</p-n>	Oh, que yo pueda proclamar toda tu alabanza. ¡En las puertas de la hija de Sion yo me regocijaré en tu salvación!
(19) @PSA 9:15	<p-n>@Salmos 9:15</p-n>	Las naciones se han hundido en el pozo que ellas han hecho; sus pies están atrapados en la red que ellos escondieron. 
(19) @PSA 9:16	<p-n>@Salmos 9:16</p-n>	El SEÑOR se ha hecho a Sí mismo conocido; Él ha ejecutado juicio; el malvado es atrapado por sus propias acciones.
(19) @PSA 9:17	<p-n>@Salmos 9:17</p-n>	Los malvados son regresados y enviados al Seol, el destino de todas las naciones que olvidan a Dios. 
(19) @PSA 9:18	<p-n>@Salmos 9:18</p-n>	Pues los necesitados no serán siempre olvidados, ni tampoco las esperanzas del oprimido serán defraudadas para siempre.
(19) @PSA 9:19	<p-n>@Salmos 9:19</p-n>	Levántate, oh SEÑOR; no permitas que el hombre gane contra Tí; que las naciones sean juzgadas a Tu vista. 
(19) @PSA 9:20	<p-n>@Salmos 9:20</p-n>	Aterrorízalos, SEÑOR; que las naciones conozcan que ellos son solo hombres.
(19) @PSA 10:1	<p-n>@Salmos 10:1</p-n>	¿Por qué, SEÑOR, te quedas lejos? ¿Por qué te escondes a Ti mismo en tiempos de problemas? 
(19) @PSA 10:2	<p-n>@Salmos 10:2</p-n>	A causa de su arrogancia, las personas malvadas persiguen a los oprimidos; pero por favor deja que el malvado sea atrapado por sus propios esquemas, los que ellos han ideado. 
(19) @PSA 10:3	<p-n>@Salmos 10:3</p-n>	Pues la persona malvada presume de sus deseos más profundos; él bendice a los codiciosos y maldice e insulta al SEÑOR.
(19) @PSA 10:4	<p-n>@Salmos 10:4</p-n>	El hombre malvado tiene un rostro alzado; él no busca a Dios. Él nunca piensa sobre Dios, porque a él no le interesa para nada Él. 
(19) @PSA 10:5	<p-n>@Salmos 10:5</p-n>	Él está seguro en todo tiempo, pero Tus decretos rectos son muy altos para él; él desprecia a todos sus enemigos.
(19) @PSA 10:6	<p-n>@Salmos 10:6</p-n>	Él dice en su corazón: "Yo nunca fallaré; a través de todas las generaciones yo no encontraré adversidad." 
(19) @PSA 10:7	<p-n>@Salmos 10:7</p-n>	Su boca está llena de maldiciones y de engaños, fraude; su lengua lastima y destruye.
(19) @PSA 10:8	<p-n>@Salmos 10:8</p-n>	Él espera en emboscada cerca de las aldeas; en los lugares secretos él asesina al inocente; sus ojos buscan alguna víctima indefensa. 
(19) @PSA 10:9	<p-n>@Salmos 10:9</p-n>	Él acecha en secreto como un león en el matorral; él se recuesta en espera de atrapar al oprimido. Él atrapa al oprimido cuando él saca su red. 
(19) @PSA 10:10	<p-n>@Salmos 10:10</p-n>	Sus víctimas son aplastadas y derrotadas; ellos caen en sus fuertes redes.
(19) @PSA 10:11	<p-n>@Salmos 10:11</p-n>	Él dice en su corazón: "Dios se ha olvidado; él cubre su rostro; él no se molestará en mirar." 
(19) @PSA 10:12	<p-n>@Salmos 10:12</p-n>	¡Levántate, SEÑOR! ¡Levanta tu mano, oh Dios! No olvides al oprimido.
(19) @PSA 10:13	<p-n>@Salmos 10:13</p-n>	¿Por qué el hombre malvado rechaza a Dios y dice en su corazón: "Tú no me pedirás cuentas"? 
(19) @PSA 10:14	<p-n>@Salmos 10:14</p-n>	Tú has tomado nota, pues Tú siempre ves aquel que inflige la miseria y pena. Los indefensos se confían a sí mismos a Tí; Tú rescatas al que no tiene padre.
(19) @PSA 10:15	<p-n>@Salmos 10:15</p-n>	Rompe el brazo del hombre malvado y malo. Házlo responsable de sus obras malvadas, las cuales él pensó que Tú no descubrirías. 
(19) @PSA 10:16	<p-n>@Salmos 10:16</p-n>	El SEÑOR es Rey por siempre y para siempre; las naciones son sacadas de su tierra.
(19) @PSA 10:17	<p-n>@Salmos 10:17</p-n>	SEÑOR, Tú has escuchado las necesidades del oprimido; Tú fortaleces su corazón, Tú escuchas su oración; 
(19) @PSA 10:18	<p-n>@Salmos 10:18</p-n>	Tú defiendes al que no tiene padre y al oprimido para que ningún hombre en la tierra cause terror otra vez.
(19) @PSA 11:1	<p-n>@Salmos 11:1</p-n>	Me refugio en el Señor; ¿Cómo me dirás: "Huye como un pájaro a la montaña"? 
(19) @PSA 11:2	<p-n>@Salmos 11:2</p-n>	¡Miren! Los malvados preparan sus arcos. Preparan sus flechas en las cuerdas para disparar en la oscuridad a los justos de corazón.
(19) @PSA 11:3	<p-n>@Salmos 11:3</p-n>	Porque si los cimientos se arruinan, ¿qué pueden hacer los justos? 
(19) @PSA 11:4	<p-n>@Salmos 11:4</p-n>	El Señor está enSu santo templo; Sus ojos examinan a los hijos de los hombres.
(19) @PSA 11:5	<p-n>@Salmos 11:5</p-n>	El Señor examina tanto a los justos como a los malvados, pero Él odia a los que aman hacer violencia. 
(19) @PSA 11:6	<p-n>@Salmos 11:6</p-n>	Él llueve carbones encendidos y azufre sobre los malvados; un viento abrasador será la porción de Su copa para ellos. 
(19) @PSA 11:7	<p-n>@Salmos 11:7</p-n>	Porque el Señor es justo y Él ama la justicia; los rectos verán Su rostro.
(19) @PSA 12:1	<p-n>@Salmos 12:1</p-n>	Ayuda, oh SEÑOR, pues el piadoso ha desaparecido; el fiel se ha desvanecido.
(19) @PSA 12:2	<p-n>@Salmos 12:2</p-n>	Todos dicen palabras vacías a su vecino; todos hablan con labios halagadores y un doble corazón. 
(19) @PSA 12:3	<p-n>@Salmos 12:3</p-n>	SEÑOR, corta todos los labios halagadores, cada lengua que habla grandes cosas. 
(19) @PSA 12:4	<p-n>@Salmos 12:4</p-n>	Estos son aquellos quienes han dicho: "Con nuestras lenguas nosotros prevaleceremos. Nuestros labios dirán: ¿quién puede ser señor sobre nosotros?
(19) @PSA 12:5	<p-n>@Salmos 12:5</p-n>	"Por causa de la violencia en contra del pobre, por causa de los gemidos del necesitado, Yo me levantaré," dice el SEÑOR. "Yo proveeré la seguridad la cual ellos anhelan."
(19) @PSA 12:6	<p-n>@Salmos 12:6</p-n>	Las palabras del SEÑOR son palabras puras, como plata purificada en un horno sobre la tierra, refinada siete veces. 
(19) @PSA 12:7	<p-n>@Salmos 12:7</p-n>	¡Tú eres SEÑOR! Tú los mantienes. Tú guardas a las personas piadosas de esta generación malvada y para siempre. 
(19) @PSA 12:8	<p-n>@Salmos 12:8</p-n>	El malvado camina en cada lado cuando el mal es exaltado entre los hijos de los hombres.
(19) @PSA 13:1	<p-n>@Salmos 13:1</p-n>	¿Cuánto tiempo, oh SEÑOR, seguirás olvidándote de mí? ¿Cuánto tiempo esconderás Tu rostro de mí? 
(19) @PSA 13:2	<p-n>@Salmos 13:2</p-n>	¿Cuánto tiempo tengo que preocuparme y tener tristeza en mi corazón todo el día? ¿Cuánto tiempo mi enemigo triunfará sobre mí?
(19) @PSA 13:3	<p-n>@Salmos 13:3</p-n>	¡Mírame y contéstame, oh SEÑOR Dios mío! Da luz a mis ojos o dormiré de muerte. 
(19) @PSA 13:4	<p-n>@Salmos 13:4</p-n>	No permitas que mi enemigo diga: "Yo lo he derrotado a él", para que mi enemigo no pueda decir: "Yo he prevalecido sobre mi adversario," de lo contrario mis enemigos se regocijarán cuando yo sea derribado.
(19) @PSA 13:5	<p-n>@Salmos 13:5</p-n>	Pero yo he confiado en Tu pacto de fidelidad; mi corazón se regocija en Tu salvación. 
(19) @PSA 13:6	<p-n>@Salmos 13:6</p-n>	Yo cantaré al SEÑOR porque Él me ha tratado muy generosamente.
(19) @PSA 14:1	<p-n>@Salmos 14:1</p-n>	El necio dice en su corazón: "No hay Dios." Ellos son corruptos y han hecho iniquidades abominables, no hay ninguno que haga el bien.
(19) @PSA 14:2	<p-n>@Salmos 14:2</p-n>	El SEÑOR mira hacia abajo desde el cielo a los hijos de los hombres para ver si hay alguno que entienda, alguien que lo busque a Él. 
(19) @PSA 14:3	<p-n>@Salmos 14:3</p-n>	Todos ellos se han vuelto atrás. Ellos juntos se han vuelto corruptos. No hay ninguno que haga el bien, no hay ni uno solo.
(19) @PSA 14:4	<p-n>@Salmos 14:4</p-n>	¿Ellos no saben nada, aquellos que cometen iniquidad, aquellos que se comen a mi pueblo como si comieran pan, y que no llaman al SEÑOR?
(19) @PSA 14:5	<p-n>@Salmos 14:5</p-n>	¡Ellos tiemblan de pavor, pues Dios está con la asamblea de los justos! 
(19) @PSA 14:6	<p-n>@Salmos 14:6</p-n>	Ustedes quieren humillar a las personas pobres a pesar de que el SEÑOR es su refugio.
(19) @PSA 14:7	<p-n>@Salmos 14:7</p-n>	¡Oh, si la salvación de Israel viniera de Sión! ¡Cuando el SEÑOR traiga a su pueblo de regreso de la cautividad, entonces Jacob se regocijará e Israel estará gozoso!
(19) @PSA 15:1	<p-n>@Salmos 15:1</p-n>	Señor, ¿quién habitará en Tu tabernáculo? ¿Quién puede vivir en Tu monte santo? 
(19) @PSA 15:2	<p-n>@Salmos 15:2</p-n>	Quienquiera que camine sin culpa, haga lo que es correcto y hable verdad desde su corazón.
(19) @PSA 15:3	<p-n>@Salmos 15:3</p-n>	El que no calumnia con su lengua, el que no hace daño a otros, y el que no insulta a su vecino.
(19) @PSA 15:4	<p-n>@Salmos 15:4</p-n>	La persona malvada es despreciada en sus ojos, pero él honra aquellos que temen al Señor. Él jura por su propia desventaja y no toma de vuelta sus promesas. 
(19) @PSA 15:5	<p-n>@Salmos 15:5</p-n>	Él no carga con intereses cuando presta dinero. Él no toma chantaje para testificar en contra del inocente. El que haga estas cosas nunca será sacudido.
(19) @PSA 16:1	<p-n>@Salmos 16:1</p-n>	Protégeme, Dios, pues yo tomo refugio en Ti. 
(19) @PSA 16:2	<p-n>@Salmos 16:2</p-n>	Yo digo al SEÑOR: "Tú eres mi Señor; mi bondad es nada fuera de Ti. 
(19) @PSA 16:3	<p-n>@Salmos 16:3</p-n>	En cuanto a las personas santas quienes están sobre la tierra, ellos son personas nobles; todo mi deleite está en ellos.
(19) @PSA 16:4	<p-n>@Salmos 16:4</p-n>	Será aumentados las aflicciones, de aquellos quienes buscan otros dioses. Yo no derramaré ofrendas de bebida de sangre a sus dioses o elevaré sus nombres con mis labios.
(19) @PSA 16:5	<p-n>@Salmos 16:5</p-n>	SEÑOR, Tú eres mi porción escogida y mi copa. Tú sostienes mi futuro. 
(19) @PSA 16:6	<p-n>@Salmos 16:6</p-n>	Las cuerdas de medición han sido puestas para mí en lugares agradables; ciertamente es hermosa mi herencia.
(19) @PSA 16:7	<p-n>@Salmos 16:7</p-n>	Yo bendeciré al SEÑOR, quien me consuela; aún en la noche mi mente instruye. 
(19) @PSA 16:8	<p-n>@Salmos 16:8</p-n>	¡Al SEÑOR he puesto delante de mí en todo tiempo, así yo no seré quitado de Su mano derecha!
(19) @PSA 16:9	<p-n>@Salmos 16:9</p-n>	Por lo tanto, mi corazón está contento; mi gloria es regocijarme. Verdaderamente yo viviré en seguridad. 
(19) @PSA 16:10	<p-n>@Salmos 16:10</p-n>	Pues Tú no abandonarás mi alma al Seol. No dejarás que Tu fiel vea al hoyo.
(19) @PSA 16:11	<p-n>@Salmos 16:11</p-n>	¡Tú me enseñas el camino de vida; gozo abundante reside en Tu presencia; deleites permanecen en Tu mano derecha para siempre!"
(19) @PSA 17:1	<p-n>@Salmos 17:1</p-n>	¡Escucha a mi súplica por justicia, oh SEÑOR; presta atención a mi llamada por ayuda! Dale oído a mi oración de unos labios sin engaño. 
(19) @PSA 17:2	<p-n>@Salmos 17:2</p-n>	¡Qué mi vindicación venga de Tu presencia; que Tus ojos vean lo que es correcto!
(19) @PSA 17:3	<p-n>@Salmos 17:3</p-n>	Tú pruebas mi corazón, Tú vienes a mí en la noche, me purificas y no encuentras ningún plan malvado; mi boca no transgredirá.
(19) @PSA 17:4	<p-n>@Salmos 17:4</p-n>	En cuanto a las obras de la humanidad, por la palabra de Tus labios, yo me he guardado de los caminos del ilegal. 
(19) @PSA 17:5	<p-n>@Salmos 17:5</p-n>	Mis pasos se han mantenido firmes a Tus caminos; mi pies no han resbalado.
(19) @PSA 17:6	<p-n>@Salmos 17:6</p-n>	Yo clamo a Tí, pues Tú me contestas, oh Dios; vuelve Tu oído hacia mí y escucha cuando yo hablo. 
(19) @PSA 17:7	<p-n>@Salmos 17:7</p-n>	¡Muestra tu pacto de fidelidad de una manera maravillosa, Tú Quien salvas por medio de Tu mano derecha a aquellos quienes toman refugio en Tí de sus enemigos!
(19) @PSA 17:8	<p-n>@Salmos 17:8</p-n>	Protégeme como la pupíla de tu ojo; escóndeme bajo la sombra de Tus alas 
(19) @PSA 17:9	<p-n>@Salmos 17:9</p-n>	de la presencia de los malvados quienes me atacan, mis enemigos que me rodean. 
(19) @PSA 17:10	<p-n>@Salmos 17:10</p-n>	Ellos no tienen misercordia de nadie; sus bocas hablan con orgullo.
(19) @PSA 17:11	<p-n>@Salmos 17:11</p-n>	Ellos han rodeado mis pasos. Ellos establecieron sus ojos para herirme hasta el suelo. 
(19) @PSA 17:12	<p-n>@Salmos 17:12</p-n>	Ellos son como león ansioso por una víctima, como cachorro de león agachándose en lugares escondidos.
(19) @PSA 17:13	<p-n>@Salmos 17:13</p-n>	¡Levántate, oh SEÑOR! ¡Atácalos! ¡Derríbalos con sus caras para abajo! ¡Rescata mi vida del malvado por Tu espada! 
(19) @PSA 17:14	<p-n>@Salmos 17:14</p-n>	¡Rescátame de los hombres por Tu mano, oh SEÑOR, de los hombres de este mundo cuya prosperidad está en esta vida solamente! Tú llenas sus vientres con lo atesorado de Tus riquezas; ellos tendrán muchos hijos y dejarán sus riquezas a sus hijos.
(19) @PSA 17:15	<p-n>@Salmos 17:15</p-n>	En cuanto a mí, yo veré Tu cara en rectitud; yo estaré satisfecho, cuando me levante, y vea tu semblante.
(19) @PSA 18:1	<p-n>@Salmos 18:1</p-n>	Te amo, SEÑOR, mi fuerza.
(19) @PSA 18:2	<p-n>@Salmos 18:2</p-n>	El SEÑOR es mi roca, mi fortaleza, Quien me lleva a la seguridad; Él es mi Dios, mi roca; yo tomo refugio en Él. Él es mi escudo, el cuerno de mi salvación y mi fuerte. 
(19) @PSA 18:3	<p-n>@Salmos 18:3</p-n>	Yo clamo al SEÑOR, Quien es digno de ser adorado, y yo seré salvado de mis enemigos.
(19) @PSA 18:4	<p-n>@Salmos 18:4</p-n>	Las cuerdas de muerte me rodearon, y la corriente de las aguas de iniquidad me inundaron. 
(19) @PSA 18:5	<p-n>@Salmos 18:5</p-n>	Las cuerdas del Seol me rodearon; las trampas de la muerte me atraparon.
(19) @PSA 18:6	<p-n>@Salmos 18:6</p-n>	En mi aflicción clamé al SEÑOR; yo clamé por ayuda a mi Dios. Él escuchó mi voz desde Su templo; mi clamor de ayuda entró en Su presencia; entró en Sus oídos.
(19) @PSA 18:7	<p-n>@Salmos 18:7</p-n>	Luego la tierra se agitó y tembló; las fundaciones de las montañas también temblaron y fueron estremecidas porque Dios estaba enojado. 
(19) @PSA 18:8	<p-n>@Salmos 18:8</p-n>	El humo salió de Sus fosas nasales y un fuego intenso salió de Su boca. Los carbones fueron encendidos por Él mismo.
(19) @PSA 18:9	<p-n>@Salmos 18:9</p-n>	Él abrió los cielos y bajó; y una oscuridad gruesa estaba bajo Sus pies. 
(19) @PSA 18:10	<p-n>@Salmos 18:10</p-n>	Él se montó sobre un querubín y voló; Él se deslizó sobre las alas del viento.
(19) @PSA 18:11	<p-n>@Salmos 18:11</p-n>	Él hizo de la oscuridad una tienda alrededor de Él, pesadas nubes de lluvia en los cielos. 
(19) @PSA 18:12	<p-n>@Salmos 18:12</p-n>	Piedras de granizo y carbones de fuego cayeron desde el rayo delante de Él.
(19) @PSA 18:13	<p-n>@Salmos 18:13</p-n>	¡El SEÑOR resonó desde los cielos! La voz del Más Alto gritó. 
(19) @PSA 18:14	<p-n>@Salmos 18:14</p-n>	Él disparó Sus flechas y esparció Sus enemigos; muchos rayos los dispersaron a ellos.
(19) @PSA 18:15	<p-n>@Salmos 18:15</p-n>	Luego los canales de agua aparecieron; las fundaciones del mundo fueron expuestas a Tu reprensión. Oh SEÑOR, a la explosión del aliento de Tus fosas nasales.
(19) @PSA 18:16	<p-n>@Salmos 18:16</p-n>	¡Él extendió Su mano desde arriba; Él me agarró! Él me sacó del agua creciente. 
(19) @PSA 18:17	<p-n>@Salmos 18:17</p-n>	Él me rescató de mi enemigo fuerte, de aquellos quienes me odiaban, pues ellos eran demasiado fuertes para mí.
(19) @PSA 18:18	<p-n>@Salmos 18:18</p-n>	¡Ellos vinieron en contra mía en el día de mi aflicción, pero el SEÑOR fue mi apoyo! 
(19) @PSA 18:19	<p-n>@Salmos 18:19</p-n>	Él me libertó en un lugar amplio y abierto; Él me salvó porque Él estaba complacido conmigo.
(19) @PSA 18:20	<p-n>@Salmos 18:20</p-n>	El SEÑOR me ha recompensado a causa de mi rectitud; Él me ha restaurado porque mis manos estaban limpias. 
(19) @PSA 18:21	<p-n>@Salmos 18:21</p-n>	Pues yo he guardado los caminos del SEÑOR y no me he apartado malvadamente de mi Dios.
(19) @PSA 18:22	<p-n>@Salmos 18:22</p-n>	Pues todos Sus decretos rectos han estado delante de mí; en cuanto a Sus estatutos, yo no me he apartado de ellos. 
(19) @PSA 18:23	<p-n>@Salmos 18:23</p-n>	Yo también he sido inocente delante de Él, y me he guardado del pecado. 
(19) @PSA 18:24	<p-n>@Salmos 18:24</p-n>	Por lo tanto, el SEÑOR me ha restaurado a causa de mi rectitud, porque mis manos estaban limpias ante Sus ojos.
(19) @PSA 18:25	<p-n>@Salmos 18:25</p-n>	A cualquiera que es fiel, Tú te muestras fiel; a un hombre que es libre de culpa, Tú te muestras libre de culpa. 
(19) @PSA 18:26	<p-n>@Salmos 18:26</p-n>	A cualquiera que es puro, Tú te muestras puro; pero Tú eres listo hacia cualquiera que es torcido.
(19) @PSA 18:27	<p-n>@Salmos 18:27</p-n>	¡Porque Tú salvas a las personas afligidas, pero Tú humillas aquellos que son orgullosos, de ojos levantados! 
(19) @PSA 18:28	<p-n>@Salmos 18:28</p-n>	Pues Tú das luz a mi lámpara; el SEÑOR mi Dios ilumina mi oscuridad. 
(19) @PSA 18:29	<p-n>@Salmos 18:29</p-n>	Porque por Ti yo puedo correr sobre una barrera; por medio de mi Dios yo puedo saltar sobre un muro.
(19) @PSA 18:30	<p-n>@Salmos 18:30</p-n>	En cuanto a Dios: Su camino es perfecto. ¡La palabra del SEÑOR es pura! Él es un escudo a todo aquel que toma refugio en Él. 
(19) @PSA 18:31	<p-n>@Salmos 18:31</p-n>	Pues, ¿quién es Dios sino el SEÑOR? ¿Quién es una roca sino nuestro Dios? 
(19) @PSA 18:32	<p-n>@Salmos 18:32</p-n>	Es Dios Quien pone fuerza sobre mí como un cinturón, Quien coloca a la persona libre de culpa en Su camino.
(19) @PSA 18:33	<p-n>@Salmos 18:33</p-n>	¡Él hace mis pies ligeros como un venado y me coloca en las alturas! 
(19) @PSA 18:34	<p-n>@Salmos 18:34</p-n>	Él entrena mis manos para la guerra y mis brazos para tensar un arco de bronce.
(19) @PSA 18:35	<p-n>@Salmos 18:35</p-n>	Tú me has dado el escudo de Tu salvación. Tu mano derecha me ha apoyado, y Tu favor me ha hecho grande. 
(19) @PSA 18:36	<p-n>@Salmos 18:36</p-n>	Tú has hecho un lugar amplio para mis pies debajo de mí, así mis pies no se han resbalado
(19) @PSA 18:37	<p-n>@Salmos 18:37</p-n>	Yo perseguí a mis enemigos y los atrapé; yo no regresé hasta que ellos fueron destrozados. 
(19) @PSA 18:38	<p-n>@Salmos 18:38</p-n>	Yo los hice añicos para que no pudieran levantarse; ellos han caído bajo mis pies. 
(19) @PSA 18:39	<p-n>@Salmos 18:39</p-n>	Pues Tú pusiste fuerza sobre mí como un cinturón para la batalla; Tú pusiste debajo de mí aquellos quienes se levantaron en contra mía.
(19) @PSA 18:40	<p-n>@Salmos 18:40</p-n>	Tú me diste la parte de atrás de los cuellos de mis enemigos; yo aniquilé aquellos quienes me odiaban. 
(19) @PSA 18:41	<p-n>@Salmos 18:41</p-n>	Ellos clamaron por ayuda, pero nadie los salvó; ellos clamaron al SEÑOR, pero Él no les contestó. 
(19) @PSA 18:42	<p-n>@Salmos 18:42</p-n>	Yo los molí a piezas finas como polvo delante del viento; yo los tiré en las calles como barro.
(19) @PSA 18:43	<p-n>@Salmos 18:43</p-n>	Tú me rescataste de las disputas de la gente. Tú me has hecho cabeza sobre las naciones. Personas que no he conocido me sirven. 
(19) @PSA 18:44	<p-n>@Salmos 18:44</p-n>	Tan pronto ellos escucharon de mí, me obedecieron; extranjeros fueron forzados a inclinarse ante mí. 
(19) @PSA 18:45	<p-n>@Salmos 18:45</p-n>	Los extranjeros vinieron temblando de sus fortalezas.
(19) @PSA 18:46	<p-n>@Salmos 18:46</p-n>	El SEÑOR vive; que mi roca sea alabada. Que el Dios de mi salvación sea exaltado. 
(19) @PSA 18:47	<p-n>@Salmos 18:47</p-n>	Él es el Dios que ejecuta venganza por mí, Quien somete a las naciones debajo de mí.
(19) @PSA 18:48	<p-n>@Salmos 18:48</p-n>	¡Yo soy libertado de mis enemigos! Ciertamente, ¡Tú me levantaste por encima de aquellos quienes se levantaron en contra mía! Tú me rescataste de los hombres violentos. 
(19) @PSA 18:49	<p-n>@Salmos 18:49</p-n>	Por lo tanto, ¡yo te daré las gracias a Tí, SEÑOR, entre todas las naciones; yo cantaré alabanzas a Tu nombre!
(19) @PSA 18:50	<p-n>@Salmos 18:50</p-n>	Dios da gran victoria a Su rey, y Él le muestra Su pacto de lealtad a Su ungido, a David y a sus descendientes para siempre.
(19) @PSA 19:1	<p-n>@Salmos 19:1</p-n>	¡Los cielos declaran la gloria de Dios, los cielos dan a conocer su obra! 
(19) @PSA 19:2	<p-n>@Salmos 19:2</p-n>	Día tras día el discurso se derrama; noche tras noche revela conocimiento. 
(19) @PSA 19:3	<p-n>@Salmos 19:3</p-n>	No hay discurso o palabras habladas; su voz no se escucha.
(19) @PSA 19:4	<p-n>@Salmos 19:4</p-n>	Aunque sus palabras van por toda la tierra, y su discurso hasta el fin del mundo. Él ha puesto una tienda para el sol entre ellos. 
(19) @PSA 19:5	<p-n>@Salmos 19:5</p-n>	El sol es como un novio saliendo de su cuarto y como un hombre fuerte que se alegra cuando corre su carrera. 
(19) @PSA 19:6	<p-n>@Salmos 19:6</p-n>	El sol se levanta desde un horizonte y cruza el cielo hasta el otro; nada escapa de su calor.
(19) @PSA 19:7	<p-n>@Salmos 19:7</p-n>	La ley del SEÑOR es perfecta, restaurando el alma; el testimonio del SEÑOR es confiable, haciendo sabios a los simples. 
(19) @PSA 19:8	<p-n>@Salmos 19:8</p-n>	Las instrucciones del SEÑOR son correctas, alegrando el corazón; el mandato del SEÑOR es puro, trayendo luz a los ojos.
(19) @PSA 19:9	<p-n>@Salmos 19:9</p-n>	El temor al SEÑOR es puro, dura para siempre; ¡los justos decretos del SEÑOR son verdaderos y completamente correctos! 
(19) @PSA 19:10	<p-n>@Salmos 19:10</p-n>	Son de más valor que el oro, hasta más que mucho oro fino; son más dulces que la miel y la miel que gotea del panal.
(19) @PSA 19:11	<p-n>@Salmos 19:11</p-n>	Sí, por ellos tu siervo es advertido; en obedecerlos hay gran recompensa. 
(19) @PSA 19:12	<p-n>@Salmos 19:12</p-n>	¿Quién puede discernir sus propios errores? Límpiame de errores ocultos.
(19) @PSA 19:13	<p-n>@Salmos 19:13</p-n>	Retén a tu siervo también de los pecados arrogantes; no los dejes que gobiernen sobre mí. Entonces yo seré perfecto, y seré inocente de muchas transgresiones. 
(19) @PSA 19:14	<p-n>@Salmos 19:14</p-n>	Que las palabras de mi boca y los pensamientos de mi corazón sean aceptables a Tu vista, SEÑOR, mi Roca y mi Redentor.
(19) @PSA 20:1	<p-n>@Salmos 20:1</p-n>	Que el SEÑOR te ayude en el día de dificultades; que el nombre del Dios de Jacob te proteja 
(19) @PSA 20:2	<p-n>@Salmos 20:2</p-n>	y envíe ayuda desde el lugar santo para apoyarte desde Sion.
(19) @PSA 20:3	<p-n>@Salmos 20:3</p-n>	Que Él recuerde todas tus ofrendas y acepte tu sacrificio quemado. 
(19) @PSA 20:4	<p-n>@Salmos 20:4</p-n>	Que te conceda los deseos de tu corazón y complete todos tus planes.
(19) @PSA 20:5	<p-n>@Salmos 20:5</p-n>	Entonces Él se alegrará en tu victoria, y, en el nombre de nuestro Dios, levantáremos bandera. Que el SEÑOR conceda tus peticiones. 
(19) @PSA 20:6	<p-n>@Salmos 20:6</p-n>	Ahora yo sé que el SEÑOR rescatará a Su ungido; Él le responderá desde Su santo cielo con la fuerza de Su mano derecha que puede rescatarlo.
(19) @PSA 20:7	<p-n>@Salmos 20:7</p-n>	Algunos confían en carros y otros en caballos, pero nosotros clamamos al SEÑOR, nuestro Dios. 
(19) @PSA 20:8	<p-n>@Salmos 20:8</p-n>	Ellos serán derribados y caerán, ¡pero nosotros nos levantáremos y estaremos erguidos!
