isomorfis	<p-n>adj</p-n> berada dalam hubungan yang sepadan, misal hu-bungan antara episode cerita dan urutan paragraf dalam wacana tuturan<div class="tags"><b>linguistics</b></div>
isomorfisme	<p-n>noun</p-n> kesamaan struktur fonologis, grama-tikal, leksikal, atau semantis dua bahasa atau lebih<div class="tags"><b>linguistics</b></div>
isonefel	<p-n>noun</p-n> garis pada peta yang menghubungkan tempat yang kadar awannya rata-rata sama pada periode tertentu<div class="tags"><b>meteorology</b></div>
isonomi	<p-n>noun</p-n> persamaan dalam hak dan undang-undang
isopal	<p-n>noun</p-n> garis yang menghubungkan kenaikan atau penurunan air tanah yang sama dalam satu periode
isopiestik	<p-n>adj</p-n> berkenaan dengan tekanan yang sama; isobarik<div class="tags"><b>physics</b></div>
isoplet	<p-n>noun</p-n> garis yang digambarkan pada peta bahasa yang menandai, baik batas pemakaian ciri bahasa maupun ciri adat istiadat, ciri geografis, dan ciri budaya yang menjadi faktor penyatu bagi dialek atau bahasa regional<div class="tags"><b>linguistics</b></div>
isoriza	<p-n>noun</p-n> jenis sel jelatang yang dilengkapi dengan sebuah tabung lurus dan tidak berduri<div class="tags"><b>zoology</b></div>
isosilabisme	<p-n>noun</p-n> ciri bahasa bertempo suku kata dengan tiap-tiap suku kata diucapkan dalam waktu yang lebih kurang sama, baik dalam ujaran cepat maupun dalam ujaran lambat<div class="tags"><b>linguistics</b></div>
isotah	<p-n>noun</p-n> garis yang menghubungkan tempat yang mempunyai kecepatan angin yang sama<div class="tags"><b>meteorology</b></div>
isoterm	<p-n>noun</p-n> <ol><li>garis dalam peta cuaca yang menghubungkan tempat yang mempunyai temperatur rata-rata yang sama pada periode tertentu<div class="tags"><b>meteorology</b></div><br></li><li>garis yang menghubungkan titik dengan suhu sama dalam ruang<div class="tags"><b>physics</b></div><br></li></ol>
isotermal	<p-n>adj</p-n> keadaan bersuhu tetap atau sama, baik terhadap ruang maupun waktu<div class="tags"><b>physics</b></div>
isotop	<p-n>noun</p-n> unsur yang atomnya mempunyai jumlah proton yang sama, tetapi berbeda jumlah neutron dalam intinya<div class="tags"><b>physics</b></div>
isotrop	<p-n>noun</p-n> <ol><li>daya perkembangan yang sama ke semua arah<br></li><li>daya bias yang tidak berbeda<br></li></ol>
isotropik	<p-n>noun</p-n> zat yang memiliki sifat fisik yang sama di segala arah dari suatu zat<div class="tags"><b>physics</b></div>
isovolumik	<p-n>noun</p-n> isokorik<div class="tags"><b>physics</b></div>
isra	<p-n>noun</p-n> perjalanan Nabi Muhammad saw. pada malam hari dari Masjidilharam di Mekah ke Masjidilaksa di Baitulmukadas dengan kendaraan burak<div class="tags"><b>Islam</b></div>
isra Mikraj	<p-n>noun</p-n> peristiwa perjalanan Nabi Muhammad saw. dari Masjidil haram ke Masjidilaksa, langsung ke Sidratul-muntaha pada malam hari untuk menerima perintah salat lima waktu<div class="tags"><b>Islam</b></div>
Israel	<p-n>name</p-n> Merupakan nama salah satu negara di dunia di wilayah Asia.
israf	<p-n>adj</p-n> boros:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Hidupnya israf</div></div>
istal	<p-n>noun</p-n> kandang kuda: Kuda peliharaan tersebut dimasukkan ke dalam Istal.
istan	<p-n>adj</p-n> <ol><li>tidak tetap<br></li><li>sembrono<br></li></ol>
istana	@istana-istana	<p-n>noun</p-n> [[]]
istana-istana	@istana	<p-n>noun</p-n> bentuk jamak/plural dari istana<div class="form_of">Form of: plural</div>
istanaku	<p-n>noun</p-n> bentuk posesif orang pertama dari istana; istana saya/aku<div class="form_of">Form of: aku</div>
istanamu	<p-n>noun</p-n> bentuk posesif orang kedua dari istana; istana kamu/Anda<div class="form_of">Form of: kedua</div>
istananya	<p-n>noun</p-n> bentuk posesif orang ketiga dari istana; istana dia/orang tersebut<div class="form_of">Form of: ketiga</div>
istanggi	<p-n>noun</p-n> setanggi
istaz	<p-n>noun</p-n> usta
istazah	<p-n>noun</p-n> ustazah
isteriku	<p-n>noun</p-n> bentuk posesif orang pertama dari isteri; isteri saya/aku<div class="form_of">Form of: aku</div>
isterimu	<p-n>noun</p-n> bentuk posesif orang kedua dari isteri; isteri kamu/Anda<div class="form_of">Form of: kedua</div>
isterinya	<p-n>noun</p-n> bentuk posesif orang ketiga dari isteri; isteri dia/orang tersebut<div class="form_of">Form of: ketiga</div>
istiadat	<p-n>noun</p-n> adat; kebiasaan
istiadatkan	<p-n>verb</p-n> bentuk transitif dari mengistiadatkan<div class="form_of">Form of: mengistiadatkan</div>
istiadatkanlah	<p-n>verb</p-n> bentuk imperatif dari istiadatkan<div class="form_of">Form of: istiadatkan</div>
istiadatmu	<p-n>noun</p-n> bentuk posesif orang kedua dari istiadat; istiadat kamu/Anda<div class="form_of">Form of: kedua</div>
istianah	<p-n>verb</p-n> permohonan pertolongan kepada Allah:<div class="tags"><b>Islam</b></div><br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Upaya mencapai kebahagiaan selain bekerja keras adalah istianah</div></div>
istiazah	<p-n>adj</p-n> <ol><li>permohonan kepada Tuhan untuk mendapat perlindungan dari gangguan setan<div class="tags"><b>Islam</b></div><br></li><li>pembacaan auzu billahi minasysyaitanirrajim<br></li></ol>
istibdad	<p-n>noun</p-n> tirani
istibra	<p-n>verb</p-n> <ol><li>berpantang bersetubuh<br></li><li>mencari kepastian suci tidaknya seorang janda sebelum kawin lagi dengan laki-laki lain yang bukan bekas suaminya (seperti menunggu sampai tiga kali datang bulan atau haid)<br></li><li>mengeluarkan tinja yang tersisa pada dubur atau air seni pada kemaluan sesudah buang air<br></li></ol>
istidlal	<p-n>noun</p-n> <ol><li>pembuktian<div class="tags"><b>Islam</b></div><br></li><li>pencarian rujukan tekstual pada ayat-ayat Alquran atau hadis<br></li></ol>
istidraj	<p-n>noun</p-n> hal atau keadaan luar biasa yang diberikan Allah Swt. kepada orang kafir sebagai ujian sehingga mereka takabur dan lupa diri kepada Tuhan, seperti Firaun dan Karun
istifham	<p-n>noun</p-n> pemeriksaan; penyelidikan; pertanyaan
istigasah	<p-n>noun</p-n> doa untuk memohon pertolongan kepada Allah Swt:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Presiden hadir dalam istigasah yang dilaksanakan di lapangan utama kota itu</div></div>
istigasah kubra	<p-n>noun</p-n> istigasah yang diikuti oleh sejumlah besar masyara-kat
istigasah sugra	<p-n>noun</p-n> istigasah yang diikuti oleh beberapa orang
istigfar	<p-n>noun</p-n> permohonan ampun kepada Allah:<div class="tags"><b>Islam</b></div><br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Membaca istigfar ialah berdoa memohon ampun kepada Allah</div></div>
istihadah	<p-n>noun</p-n> darah yang keluar dari faraj wanita yang tidak biasa seperti darah haid dan nifas (darah penyakit)
istihsan	<p-n>noun</p-n> pendapat yang berpegang pada kebaikan sesuatu bagi umat manusia sehingga apa yang dipandang baik boleh dikerjakan atau dipedomani<div class="tags"><b>Islam</b></div>
istikamah	<p-n>noun</p-n> sikap teguh pendirian dan selalu konsekuen:<div class="tags"><b>Islam</b></div><br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Alquran mengajarkan kita agar mempunyai sikap istikamah</div></div>
istikharah	<p-n>noun</p-n> salat sunah mohon ditunjukkan pilihan yang benar<div class="tags"><b>Islam</b></div>
istikhlaf	<p-n>noun</p-n> penunjukan wakil sebelum seseorang meninggal
istiklal	<p-n>noun</p-n> kebebasan; kemerdekaan
istikmal	<p-n>noun</p-n> <ol><li>pemakaian<br></li><li>penyempurnaan; pembulatan (jumlah dsb.)<br></li></ol>
istikmalkan	<p-n>verb</p-n> bentuk transitif dari mengistikmalkan<div class="form_of">Form of: mengistikmalkan</div>
istikmalkanlah	<p-n>verb</p-n> bentuk imperatif dari istikmalkan<div class="form_of">Form of: istikmalkan</div>
istilah	<p-n>noun</p-n> <ol><li>kata atau gabungan kata yang dengan cermat mengungkapkan makna konsep, proses, keadaan, atau sifat yang khas dalam bidang tertentu<br></li><li>sebutan; nama:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Janda muda disebut dengan istilah "janda kembang"</div></div><br></li><li>kata atau ungkapan khusus<br></li></ol>
istilah kekerabatan	<p-n>noun</p-n> <ol><li>istilah untuk menyebut atau menyapa orang yang terikat kepada diri sendiri karena hubungan keturunan, darah, atau perkawinan<div class="tags"><b>anthropology</b></div><br></li><li>kata atau frasa yang mengungkapkan anggota suatu kelompok yang secara biologis berhubungan (berkerabat), misal kata ayah, abang, ipar, mertua<div class="tags"><b>linguistics</b></div><br></li></ol>
istilah khusus	<p-n>noun</p-n> istilah yang pemakaiannya dan/atau maknanya terbatas pada bidang tertentu
istilah umum	<p-n>noun</p-n> istilah yang menjadi unsur bahasa yang digunakan secara umum
istilahkan	<p-n>verb</p-n> bentuk transitif dari mengistilahkan<div class="form_of">Form of: mengistilahkan</div>
istilahkanlah	<p-n>verb</p-n> bentuk imperatif dari istilahkan<div class="form_of">Form of: istilahkan</div>
istima	<p-n>noun</p-n> pertimbangan (pendapat dsb.) yang baik
istimaiah	<p-n>adj</p-n> bersifat mendengarkan
istimewa	<p-n>adj</p-n> [[]]
istimewakan	<p-n>verb</p-n> bentuk transitif dari mengistimewakan<div class="form_of">Form of: mengistimewakan</div>
istimewakanlah	<p-n>verb</p-n> bentuk imperatif dari istimewakan<div class="form_of">Form of: istimewakan</div>
istimna	<p-n>noun</p-n> pengeluaran mani dengan tangan; onani
istimtak	<p-n>verb</p-n> bercumbu-cumbuan antara suami dan istri
istinggar	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>senapan sundut (membunyikannya dengan disulut)
istiqlal	<p-n>noun</p-n> kebebasan; kemerdekaan
istirahat singkat	<p-n>noun</p-n> istirahat dua hari yang dapat diberikan kepada seorang pegawai negeri karena sakit ataupun karena keperluan lain
istirahatkan	<p-n>verb</p-n> bentuk transitif dari mengistirahatkan<div class="form_of">Form of: mengistirahatkan</div>
istirahatkanlah	<p-n>verb</p-n> bentuk imperatif dari istirahatkan<div class="form_of">Form of: istirahatkan</div>
istislah	<p-n>noun</p-n> pendapat bahwa sesuatu adalah sahih karena berfaedah, baik untuk kepentingan pribadi maupun untuk kepentingan umum<div class="tags"><b>Islam</b></div>
istislam	<p-n>noun</p-n> penerimaan kepercayaan muslim
istisna	<p-n>noun</p-n> pengecualian
istitaah	<p-n>noun</p-n> kemampuan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia sudah mempunyai istitaah untuk naik haji</div></div>
istiwa	<p-n>adj</p-n> paralel
istri	@istri-istri	<p-n>noun</p-n> pasangan dari suami<br><div>Synonyms: <p-a>isteri</p-a></div>
istri gelap	<p-n>noun</p-n> perempuan simpanan; perempuan piaraan (yang tidak dinikahi)
istri-istri	@istri	<p-n>noun</p-n> bentuk jamak/plural dari istri, para istri<div class="form_of">Form of: plural</div>
istrinya	<p-n>noun</p-n> bentuk posesif orang ketiga dari istri; istri dia/orang tersebut<div class="form_of">Form of: ketiga</div>
isu	<p-n>noun</p-n> <ol><li>masalah yang dikedepankan (untuk ditanggapi dsb.)<br></li><li><p-n>slang</p-n> kabar yang tidak jelas asal usulnya dan tidak terjamin kebenarannya; kabar angin; desas-desus<br></li></ol>
isukan	<p-n>verb</p-n> bentuk transitif dari mengisukan<div class="form_of">Form of: mengisukan</div>
isukanlah	<p-n>verb</p-n> bentuk imperatif dari isukan<div class="form_of">Form of: isukan</div>
isya	<p-n>noun</p-n> <ol><li>waktu menjelang malam sesudah lenyapnya sinar merah di ufuk barat<br></li><li>waktu salat wajib setelah lenyapnya sinar merah di ufuk barat sampai menjelang terbit fajar<br></li><li>(huruf awal ditulis dengan kapital) salat wajib sebanyak empat rakaat pada malam hari antara habis waktu magrib dan menjelang subuh<div class="tags"><b>Islam</b></div><br></li></ol>
isyarat	@isyarat-isyarat	<p-n>noun</p-n> segala sesuatu (gerakan tangan, anggukan kepala, dsb.) yang dipakai sebagai tanda atau alamat:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia memberikan isyarat tanda setuju dengan kedipan matanya</div></div>
isyarat akustis	<p-n>noun</p-n> isyarat yang dapat ditangkap untuk membedakan segmen bunyi, misal saat awal bunyi<div class="tags"><b>linguistics</b></div>
isyarat cermin	<p-n>noun</p-n> isyarat yang dikirimkan pada waktu siang hari dengan menggunakan pantulan cahaya matahari melalui cermin<div class="tags"><b>shipping</b></div>
isyarat-isyarat	@isyarat	<p-n>noun</p-n> bentuk jamak/plural dari isyarat<div class="form_of">Form of: plural</div>
isyaratkan	<p-n>verb</p-n> bentuk transitif dari mengisyaratkan<div class="form_of">Form of: mengisyaratkan</div>
isyaratkanlah	<p-n>verb</p-n> bentuk imperatif dari isyaratkan<div class="form_of">Form of: isyaratkan</div>
isytiak	<p-n>adj</p-n> perasaan tertarik hati seorang hamba kepada Allah ketika berkomunikasi dengan-Nya untuk mendapatkan kenikmatan<div class="tags"><b>Islam</b></div>
Italia	<p-n>name</p-n> Merupakan nama salah satu negara di dunia di wilayah Eropa.
italik	<p-n>noun</p-n> huruf miring; huruf kursif<div class="tags"><b>printing</b></div>
item	<p-n>adj</p-n> <p-n>slang</p-n> hitam
item legit	<p-n>noun</p-n> corak kulit berwarna cokelat gelap (tentang gadis)
iterasi	<p-n>noun</p-n> perulangan
iterbium	<p-n>noun</p-n> unsur logam yang sangat langka, menyerupai itrium, dengan nomor atom 70, lambang Yb, dan bobot atom 173,04
itibak	<p-n>verb</p-n> mengikuti (contoh):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Kita berpuasa, bersalat, dan beribadah sunah hanya itibak kepada Nabi Muhammad saw.</div></div>
itifak	<p-n>noun</p-n> persetujuan; persamaan; persesuaian
itihad	<p-n>noun</p-n> persatuan; perhimpunan
itik	<p-n>noun</p-n> unggas yang hidupnya di darat, pandai berenang, badannya seperti angsa, tetapi lebih kecil, termasuk binatang piaraan; bebek
itik air	<p-n>noun</p-n> belibis
itik alabio	<p-n>noun</p-n> itik yang dikembangkan di daerah Alabio, Kalimantan Selatan, biasanya dipelihara dalam lanting (rumah di atas rawa-rawa), mempunyai produksi telur yang tinggi
itik bali	<p-n>noun</p-n> itik yang dikembangkan di Bali, warna bulunya bermacam-macam (putih, hitam, cokelat), kadang-kadang ada yang berjambul; mempunyai produksi telur yang tinggi
itik laut	<p-n>noun</p-n> belibis
itik liar	<p-n>noun</p-n> itik yang hidup di sungai, sawah, dan rawa-rawa (termasuk binatang yang dilindungi); Cairina sculata
itik liar kecil	<p-n>noun</p-n> itik yang pandai terbang, panjang badan 30 cm, bulu badan sebagian besar berwarna putih, hidupnya berpasangan, makanannya udang dan ikan kecil, serangga air, dan binatang air kecil lainnya; Nettapus coromandelianus
itik manila	<p-n>noun</p-n> itik yang kakinya lebih pendek dan badannya lebih besar (gemuk bulat) daripada itik biasa; entok
itik serati	<p-n>noun</p-n> itik manila
itil	<p-n>noun</p-n> <p-n>impolite</p-n> klitoris
itisal	<p-n>verb</p-n> terbukanya hati untuk mengetahui dan melihat sesuatu yang tidak dapat dilakukan oleh orang lain
itlak	<p-n>noun</p-n> hal mengakui kebenaran suatu ajaran tanpa diselidiki sendiri
itrium	<p-n>noun</p-n> unsur dengan nomor atom 39, lambang Y, dan bobot atom 88,9059
itulah	@itu	<p-n>verb</p-n> demikianlah akibatnya:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">itulah kalau orang berbuat durhaka terhadap orang tua</div></div>
iudisasi	<p-n>verb</p-n> menggalakkan penggunaan IUD dalam program keluarga berencana
iuran	<p-n>noun</p-n> jumlah uang yang dibayarkan anggota perkumpulan kepada bendahara setiap bulan (untuk biaya administrasi, rapat anggota, dsb)
iwad	<p-n>noun</p-n> <ol><li>imbalan atau tebusan yang diberikan istri kepada suami untuk minta khuluk<div class="tags"><b>Islam</b></div><br></li><li>pampasan; ganti rugi<br></li></ol>
izah	<p-n>noun</p-n> kehormatan; harga diri; kekuasaan
izin	<p-n>noun</p-n> pernyataan mengabulkan (tidak melarang dsb); persetujuan untuk membolehkan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia telah mendapat izin untuk mendirikan perusahaan mebel</div><div class="example" style="padding: 10px 20px;">nomina singular maskulin</div></div><br><div>Synonyms: <p-a>restu</p-a></div>
izin	@idzin	@ijin	<p-n>verb</p-n> meminta izin; memohon izin:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">hari ini saya izin tidak masuk kuliah karena ada keperluan</div></div><br><div>Synonyms: <p-a>permisi</p-a></div>
izin mengemudi	<p-n>noun</p-n> izin untuk menjalankan kendaraan bermotor
izin praktik	<p-n>noun</p-n> izin untuk melakukan pekerjaan dengan menerapkan keahliannya dalam suatu bidang ilmu dengan memperoleh imbalan (seperti dokter dan pengacara)
izin terbit	<p-n>noun</p-n> izin dari pemerintah yang diperlukan untuk menerbitkan surat kabar atau terbitan lainnya<div class="tags"><b>communications</b></div>
izin usaha	<p-n>noun</p-n> izin untuk melakukan kegiatan di bidang niaga dengan tujuan mencari untung
izinkan	<p-n>verb</p-n> bentuk transitif dari mengizinkan<div class="form_of">Form of: mengizinkan</div>
izinkanlah	<p-n>verb</p-n> bentuk imperatif dari izinkan<div class="form_of">Form of: izinkan</div>
j	<p-n>character</p-n> huruf kesepuluh Abjad Indonesia;
J-pop	<p-n>noun</p-n> genre musik yang berasal dari Jepang
jaat	<p-n>noun</p-n> tanaman merambat yang buahnya bersegi empat panjang, setiap seginya berembel-embel seperti sayap yang bergerigi, bunganya berwarna biru muda; kecipir; "Psophocarpus tetragonolobus"
jab	<p-n>noun</p-n> pukulan pendek (tinju)<div class="tags"><b>sports</b></div>
jabal	<p-n>noun</p-n> gunung atau bukit (terdapat dalam nama, seperti jabal Kaf; jabal Labnun)
jabang	<p-n>noun</p-n> cambang
Jabar	<p-n>abbrev</p-n> Jawa Barat
jabaran	<p-n>noun</p-n> penjelasan secara terperinci; uraian
jabarkan	<p-n>verb</p-n> bentuk transitif dari menjabarkan<div class="form_of">Form of: menjabarkan</div>
jabarkanlah	<p-n>verb</p-n> bentuk imperatif dari jabarkan<div class="form_of">Form of: jabarkan</div>
jabat tangan	<p-n>verb</p-n> <p-n>no-gloss</p-n> 
jabatan	<p-n>noun</p-n> <ol><li>pekerjaan (tugas) dalam pemerintahan atau organisasi:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia berhenti dari jabatannya</div></div><br></li><li>fungsi<br></li><li>dinas; jawatan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">surat jabatan</div></div><br></li></ol>
jabatan fungsional	<p-n>noun</p-n> jabatan yang ditinjau dari fungsinya dalam satuan organisasi (seperti dokter ahli, dosen, juru ukur)
jabatan negeri	<p-n>noun</p-n> jabatan dalam bidang eksekutif yang ditetapkan berdasarkan peraturan perundang-undangan (termasuk jabatan dalam kesekretariatan lembaga tertinggi negara dan kepaniteraan pengadilan)
jabatan organik	<p-n>noun</p-n> jabatan yang telah ditetapkan dalam peraturan gaji yang berlaku dan termasuk formasi yang telah ditentukan oleh jawatan yang bersangkutan
jabatan rangkap	<p-n>noun</p-n> dua atau lebih jabatan yang dipegang oleh seseorang dalam pemerintahan atau organisasi, seperti sekretaris jenderal, kepala biro
jabatan struktural	<p-n>noun</p-n> jabatan yang terdapat dalam struktur organisasi (komunitas) secara formal sehingga tugas, tanggung jawab, wewenang, dan hak pejabat atau pegawai bersangkutan sudah diatur
jabatanku	<p-n>noun</p-n> bentuk posesif orang pertama dari jabatan; jabatan saya/aku<div class="form_of">Form of: aku</div>
jabatanku	@jabatan	<p-n>noun</p-n> bentuk posesif orang pertama dari jabatan; jabatan saya/aku<div class="form_of">Form of: aku</div>
jabatanmu	<p-n>noun</p-n> bentuk posesif orang kedua dari jabatan; jabatan kamu/Anda<div class="form_of">Form of: kedua</div>
jabatanmu	@jabatan	<p-n>noun</p-n> bentuk posesif orang kedua dari jabatan; jabatan kamu/Anda<div class="form_of">Form of: Anda</div>
jabatannya	@jabatan	<p-n>noun</p-n> bentuk posesif orang ketiga dari jabatan; jabatan dia/orang tersebut<div class="form_of">Form of: dia</div>
jables	<p-n>noun</p-n> bunyi ketukan yang keras berulang-ulang
Jabodetabek	<p-n>verb</p-n> <p-n>acronym</p-n> Jakarta - Bogor - Depok - Tangerang - Bekasi
jabrik	<p-n>adj</p-n> <p-n>slang</p-n> lebat dan kaku seperti sikat (tentang rambut)
jadah	<p-n>noun</p-n> <ol><li>sejenis makanan<br></li><li>tidak sah; tidak resmi<br></li></ol><div>Synonyms: <p-a>bastar</p-a></div>
jadam	<p-n>noun</p-n> <ol><li>pati kayu gaharu berwarna hitam, biasa dipakai untuk obat perut dsb.<br></li><li>nama campuran logam berwarna biru tua, untuk melapis dan menghitamkan perak dsb.<br></li></ol>
jadayat	<p-n>noun</p-n> garis lintang selatan bumi (23-½ derajat)<div class="tags"><b>geology</b></div>
jadi	<p-n>verb</p-n> <ol><li>langsung berlaku (dilakukan, dikerjakan); tidak batal:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">kemarin ia jadi pergi ke Bogor</div></div><br></li><li>betul-betul terjadi; menjadi kenyataan (berhasil):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">barang kehendaknya jadi</div></div><br></li><li>selesai dibuat:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">rumahnya belum jadi</div></div><br></li><li>lahir; dilahirkan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ketika itu engkau baru jadi</div></div><br></li><li>sudah selesai dibuat; siap pakai:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia membeli pakaian jadi</div></div><br></li><li>baiklah begitu; setuju:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">kalau begitu jadi</div></div><br></li><li>bentuk dasar dan transitif dari menjadi<div class="form_of">Form of: transitif</div><br></li><li><p-n>slang</p-n> sukses (lihat: jadi orang):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">kalau kamu sudah jadi orang, jangan lupakan aku ya</div></div><br></li><li><p-n>slang</p-n> dewasa (lihat: jadi orang):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">anakmu sekarang sudah jadi orang, jangan dianggap anak kecil lagi</div></div><br></li><li>oleh sebab itu; maka; dengan demikian: ibunya sakit, jadi dia terpaksa pulang<br></li></ol><div>Synonyms: <p-a>menjadi</p-a></div>
jadi orang	<p-n>verb</p-n> <ol><li><p-n>slang</p-n> dewasa:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">anakmu sekarang sudah jadi orang, jangan dianggap anak kecil lagi</div></div><br></li><li><p-n>slang</p-n> sukses:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">kalau kamu sudah jadi orang, jangan lupakan aku ya</div></div><br></li></ol><div>Synonyms: <p-a>menjadi</p-a></div>
jadi umum	<p-n>noun</p-n> peristiwa dibukanya kesempatan bagi khalayak untuk membeli saham perusahaan
jadi-jadian	<p-n>noun</p-n> bukan keadaan (rupa, wujud) yang sebenarnya
jadikan	<p-n>verb</p-n> bentuk transitif dari menjadikan<div class="form_of">Form of: menjadikan</div>
jadikanlah	<p-n>verb</p-n> bentuk imperatif dari jadikan<div class="form_of">Form of: jadikan</div>
jadilah	@jadi	<p-n>verb</p-n> <p-n>no-gloss</p-n> 
jadinya	<p-n>noun</p-n> bentuk posesif orang ketiga dari jadi; jadi dia/orang tersebut<div class="form_of">Form of: ketiga</div>
jaduk	<p-n>noun</p-n> orang yang terkemuka; pemuka; jagoan
jadul	<p-n>abbrev</p-n> jaman dulu<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ibuku sangat suka dengan segala hal yang berbau jadul mulai dari musik, baju, hingga makanan juga.</div></div>
jadwal	<p-n>noun</p-n> pembagian waktu berdasarkan rencana pengaturan urutan kerja; daftar atau tabel kegiatan atau rencana kegiatan dengan pembagian waktu pelaksanaan yang terperinci:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Jadwal penataran itu sudah disetujui oleh pimpinan</div></div>
jadwal acara	<p-n>noun</p-n> jadwal kegiatan yang akan dilakukan
jadwalkan	<p-n>verb</p-n> bentuk transitif dari menjadwalkan<div class="form_of">Form of: menjadwalkan</div>
jadwalkanlah	<p-n>verb</p-n> bentuk imperatif dari jadwalkan<div class="form_of">Form of: jadwalkan</div>
jaga	<p-n>verb</p-n> <ol><li>bangun; tidak tidur<br></li><li>berkawal atau bertugas menjaga keselamatan dan keamanan; piket<br></li></ol><div>Synonyms: <p-a>menjaga</p-a></div>
jagabaya	<p-n>noun</p-n> kepala keamanan desa
jagabela	<p-n>noun</p-n> <ol><li>pengawal pribadi raja pada zaman Diponegoro<br></li><li>prajurit pengawas disiplin<br></li></ol>
jagakan	<p-n>verb</p-n> bentuk transitif dari menjagakan<div class="form_of">Form of: menjagakan</div>
jagakanlah	<p-n>verb</p-n> bentuk imperatif dari jagakan<div class="form_of">Form of: jagakan</div>
jagal	<p-n>noun</p-n> pedagang kecil (di kedai dsb.)
jagal	<p-n>noun</p-n> <ol><li>orang yang bertugas menyembelih (memotong) binatang ternak (seperti lembu, kambing, kerbau) di rumah pemotongan hewan; pembantai<br></li><li>orang yang berusaha di bidang potong-memotong hewan atau sebagai agen penjual daging hewan<br></li><li><p-n>slang</p-n> pembunuh orang<br></li></ol>
jagalan	<p-n>noun</p-n> barang jualan (dagangan)
jagang	<p-n>noun</p-n> <ol><li>tiang penopang<br></li><li>parit yang dalam (di sekeliling benteng dsb.):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Rumah Adipati Jipang diperkuat dengan jagang di sekelilingnya</div></div><br></li></ol>
jagang	<p-n>noun</p-n> parit yang dalam (di sekeliling benteng dsb.):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Rumah Adipati Jipang diperkuat dengan jagang di sekelilingnya</div></div>
jaganya	<p-n>noun</p-n> bentuk posesif orang ketiga dari jaga; jaga dia/orang tersebut<div class="form_of">Form of: ketiga</div>
jagapati	<p-n>noun</p-n> pengawal
jagaraga	<p-n>noun</p-n> pengawal
jagat	<p-n>noun</p-n> bumi; dunia; alam:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Tidak ada satu pun di jagat ini yang tidak berubah</div></div>
jagat buana	<p-n>noun</p-n> dunia semesta
jagat maya	<p-n>noun</p-n> dunia khayal
jagat rat	<p-n>noun</p-n> jagat raya
jagat raya	<p-n>noun</p-n> alam semesta; seluruh dunia
jagawana	<p-n>noun</p-n> orang yang pekerjaannya menjaga atau mengawasi hutan
jago	<p-n>noun</p-n> <ol><li>ayam jantan (yang berumur lebih dari 12 bulan):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia memiara jago yang bagus sekali untuk pejantan bagi ayam-ayam betina piaraannya</div></div><br></li><li>calon utama (dalam suatu pemilihan):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia diajukan sebagai jago dalam pemilihan lurah di desanya</div></div><br></li><li>orang yang terkemuka; pemuka; penganjur:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Dialah jago dalam pergerakan rakyat melawan penjajah</div></div><br></li><li>juara; kampiun:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Ia jago bulutangkis di kampungnya</div></div><br></li><li>yang diharapkan jadi pemenang:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Jago saya dalam pacuan kuda itu adalah kuda cokelat berbelang putih</div></div><br></li></ol>
