A	 pronounced a as in fat. 
-amuhela (amuhezi)	v.t. to receive, to take, to accept; to entertain; to welcome: Ku amuhela mpo, to accept a gift. Ku amuhela muenyi, to welcome a guest. der. kamuhelo, luamuhelo. rel. -amuhelela (amuhelezi) to reccive for. and on behalf of: Mulena Lewanika u amuhelezi Buloz Linzwi la Mulimu, King Lewanika welcomed the Word of God on behalf of his country. caus. -amuhelisa (amuhelisize) to help to receive. rec. -amuhelana (amuhelani) to receive each other. spec. exp. Ku amuhelana ka manzwi, to converse. Ku amuhelana ka ku opela, to sing together (one sing ing the solo and others singing the chorus). 
-amuka1 (amukile)	v.i. to breathe with difficulty, to feel pain in the chest: U amukile mwa sifuba, he feels stabbing pains in his chest. caus. -amukisa (amukisize) to cause to. 
-amuka2 (amukile)	v.i. to have one's fill, to be satiated. syn. kula2. 
-ana-ana (ana-anile)	v.i. to be ill-mannered, uncivil, forward: Mutu yo wa ana-ana, this person has no manners. syn. -–ana-–ana. rel. -ana-anela (ana-anezi) to show uncivility against someone. caus. -ana-anisa) to cause to Yani se si mu ana-anisa cwalo ki kuli u fumile, it is the fact that he is well off that gives that person such self-importance. 
-anda (andile)	v.t. (1) to freeze, to chill; to damage: Silami si andile licalo, the frost has damaged the seedlings (2) to become rigid or tight as a rope: Muhala u andile, the rope is tight. caus. -andisa (andisize) to stretch out (a rope, etc) -andala (andile or andazi) v.t. to strike, to give a blow to. 
-andalala (andalalile)	v.i. (1) to be rigid, to be stiff: Mulala wa hae u andalalile mi h'a koni ku talima kwa: mulaho, he has such a stiff neck that he is unable to look behind. (2) to look fixedly. caus. - andalalisa (andalalisize) to cause stiffness 
-andamena (andamezi)	v.t. to wait for someone or something: to expect to inherit: Ki yena ya anda-mezi situlo sa ndat'ahe, he is the one likely to succeed his father. der. mwandamena. 
-andamisa1 (andamisize)	v.t. to expel: to chase: Mushimani yo ba mu andamisize kwa sikolo, this boy has been expelled from school. 
-andamisa2 (andamisize)	v.t. to beat the Litunga's drums at fixed times: Utwa, ba andamisa, Mulena u zwela fande; listen to the drums, the Litunga is coming out of the palace. 
-andauka (andaukile)	v.i. to resound (as a gun when many shots are fired one after the other, or drums strongly beaten). 
-andaula (andauzi)	v.t. to cut into small pieces (firewood, etc). 
-andeka (andekile)	v.t. to stretch a reed mat between reed fishing traps. der. muandeko. 
aneu!	interj. stop! (used for stopping spans of oxen.) 
-anga (angile)	v.t. to conclude marriage negotiations by paying the usual fee to the girl's parents: Ba angile ka Kwacha i linwi, they have paid K1.00 to seal the agreement. Musali yo s'a angilwe kwa bashemi ba hae, this woman is engaged to be married. 
-angabala (angabalile or angabezi)	v.t. to be out of one's wits: Mutu ya angabezi h'a buleli ze nde kwa batu, a man out of his wits does not say pleasant things to other people. der. buyanga, siyangano. rel. -anga-balela (angabalezi) to talk nonsense to, to speak nonsense in the presence of people. caus. -angabalisa (angabalisize) to drive someone out of his wits: se si mu angabalisize ki ku loiwa, it is because he has been bewitched that he is out of his wits. 
-angamana (angamani)	v.i. to sit or walk with the nose in the air. cf. -nanguka, -inuka. caus. -angamanisa (angamanisize) to cause to ~. 
-angata (angatile)	v.t. Luyana. to walk awkwardly carrying things in both hands. cf. -mangata. rel. -angatela (angatezi) to carry for someone with both hands. 
-anguluka (angulukile)	v.i. to cease being sad, to recover, to be well again (as after illness or a relative's death): Mulili u angulukile kwa maswabi a hae, the mourner has got over his sorrow. rel. -angulukela (angulukezi) to show pleasure again, to enjoy: Mukuli s'a angulu-kela batu, the patient shows pleasure again in being visited. caus. -angulukisa (angulukisize) to comfortt Balikani ba hae ba mu angulukisize, his friends comforted him. 
ani,	dem. pron. pl. (class: bu-ma, li-ma, lu-ma) 3rd degree; those: Malao ani mu a sabe! Mind those wasps! 
-anjuka (anjukile) 	v.i. to look fixedly. syn. -ndwenduka. rel. -anjukela (anjukezi) to stare at: Bona mbututu mw'a anjukezi baenyi, look how the baby stares at the visitors. 
-anya1 (anyize)	v.t. to suck from the breast or cow's udder: Mbututu u anya hande, the baby is in good health (lit: the baby sucks satisfactorily) der. muanyisi muanyisezo. syn. -zwepa. rel. -anyeza (anyelize) to suck someone's cow. caus. anyisa (anyisize) to suckle, to nurse at the breast, to help a child drink directly from a cow; to allow cows to suckle calves: Mushemi u anyisa mwan'a hae, the mother is suckling her child. fig. to act in a way which will put someone in dif- ficulty, to exploit syn. -lumeha. rel. -anyiseza (anyiselize) to suckle for someone: Ni anyiseze mushimani yo, suckle this boy for me. 
-anya2 (anyize)	v.t. to beat, to whip, to thrash: Ni mu anyize ka papa, I beat him with a whip. U ni anyize lubaka, he gave me a violent slap. freq. -anyaula (anyauzi) to beat repeatedly and severely, to thrash: U mu anyauzi hahalu, he beat him severely caus-anyaulisa (anyaulisize) to cause or to help to beat: A ku t'o ni anyaulisa mulisana yo, come and help me to beat this herdsman. 
-anya-anya (anya-anyize)	v.t. to touch anything lightly: U tiise kwa ku swala, u sike wa anya-anya feela; hold fast, not so lightly. 
-anyuka1 (anyukile) 	v.i. to be lying unconscious after being strangled. caus. -anyuna (anyuzi) v.t. to strangle someone into unconsciousness: u mu anyuzi ka baka la bu-maswe bwa hae. he strangled him because of his bad behaviour. 
-anyuka2 (anyukile)	v.i. to come out from behind a cloud (sun, moon, star): Ku se ku anyumukile, cwalŽ silami si felile: the sun is warming up now, it is no longer cold. rel. pass -anyumukelwa (anyumukezwi) to get warm in the morning sun; to dry up (as the morning dew): ki ko kunde ku zuma linyunywani li si ka anyumukelwa kale, it is good to hunt birds when they are still drowsy in the early morning. 
-a–uka (a–ukile)	v.i. to be fostered or brought up by a relation (sometimes: to be adopted) Mwan'a ka u anuka ku kaizel'a ka, my child is being brought up by my sister. 
-a–ula (a–uzi)	v.t. to foster, to adopt, to bring up: Mutu yo u anuzi ba banata b lusika lwa habo, this person has brought up many of his relations. Ka anula, foster parent. Ya anulela (anulezi) to bring up for; ku anulela mutu mwan'a hae, to bring up someone's child. caus. -a–ulisa (a–ulisize) to cause to, to help to bring up: U mu anulisize kwa lindiala, he helped him to bring up some orphans. 
ao,	dem. pron. pl. (class: bu-ma. li- ma, lu-ma) 2nd degree; those: manaka ao ni a boni, ki a mande hahulu: I saw those tusk, they are superb. 
-apala (apezi)	v.i. and v.t. to dress, to wear, to put on: Kacenu u apezi hande, today he is well dressed. der. siapalo, muapalelo. (fig. mui-kapali) cf. -tina. fig. exp. Ku apala batu, to take people by surprise, to invade (as during a war). 
-apesa (apesize)	v.t. to clothe someone, to dress, to cover: Musali u apesize mwan'a hae sweta, the woman has dressed her child with a pullover; Munda u apesize libala, the flood has covered the plain. int. -apeseleza (apeselelize) to cover fully. rec. fig to become locked in close fighting: Banna ki kale ba apalana, the men are already coming to blows! syn. -swalana ref. -lkapesa (ikapesize) to clothe, to dress oneself. 
-apuha (apuhile)	v.i. to be uncovered, to lie open: Mukuli wa hao u apuhile, u mu apese kubo; your patient is lying uncovered, put a blanket on him. Malu a apuhile, the sky is clear. 
-apula (apuzi)	v.t. to uncover, to undress, to strip; to open: U mu apuzi ndelesi mi u mu siile mapunu, he has taken off her dress and left her naked. Ku apula buka, to open a book for someone: U tusize ka apulela sibofu buka ya sona, he helped the blindman to open his book. caus. -apulisa (apulisize) to cause to uncover or to help to open. int. -apulelela (apulelezi) to open fully; to uncover completely: U mu apule-lezi likubo za hae kaufela, he has taken off all his blankets. 
-apea (apeile)	v.t. (also apeya) to cook, to stew; to make boil: Ku apea bucwala, to brew beer; ku apea nama, to stew meat, der. muapei, buapei, siapeiso, muapeelo. syn. -tateha. rel. -apeela (apeezi) to cook for: Ku apeela bakuli lico, to cook food for the patients. caus. -apeisa (apeisize) to order or to help to cook: Ku apeisa lico za bafuluhi, to help to cook food for the paddlers. int. -apeelela (apeelezi) to cook all: Ku apeelela nama, to cook all the meat. ref. -lkapeela (ikapeezi) to cook for oneself. 
asha!	interj. expressing denial or used to deride someone 
-asuka (asukile)	v.i. to speak angrily and loudly; to cry very loudly (baby) rel. -asukela (asukezi) to speak loudly to: ;. Ku asukela mutu, to speak angrily to someone. freq. -asoka (asokile) to speak loudly and repeatedly. rel. -asokela (asokezi) to speak angrily again and again to someone: Muatuli a asokela ya n'a zekiswa, the judge spoke angrily many times to the accused. caus. -asokisa (asokisize) to cause to speak angrily: U asokisizwe ki mushiman'a hae, his boy caused him to speak angrily. U asokisizwe ki ku utwa manzwi a maswe, he spoke angrily because of the bad language he heard. 
-ata (atile)	v.i. to become more abundant, to increase, to multiply, to be common: Libyana se li atile hahulu mwa mantolo, goods have become more abundant in the stores. rel. -atela (atezi) to become abundant for someone: Mali a mu atezi, he has got plenty of money. pass. -atelwa (atezwi) to receive, to have plenty to live in abundance: U atezwi ki matuku, his illnesses are frequent and varied. caus. -atisa (atisize) to multiply to cause to increase: Tal'a i atisa busholi mwa naha, hunger causes theft to in crease in the land. Also used as an axilliary verb: Ni atisa ku kula, I am often ill. rel. -atiseza (atiselize) to increase, to multiply for: Ku maswe ku atiseza mutu litaba z'a sika eza, it is bad to charge someone with faults which are not of his doing. stat. -ateha (atehile) to be abundant, to increase: batu ba se ba atehile hahulu mwa naha, there is already a very large number of these (or such) people in the country. 
-atama (atami)	v.i. to open the mouth, to be wide open: Nuka i atami, the river is wide Libita li atami, the grave is open. der. muatamelo, buatamo, rel. -atamela (atamezi) to open the mouth in order to get food: Linyunywani za bana li atamela m'a zona h'a taha kwa siyaleto, the fledglings open their mouths for food when the mother bird comes to the nest. caus. -atamisa (atamisize) to cause to open the mouth: Atamisa mulomo, u nwe mulyani, wo, open your mouth and drink this medicine int. -atamelela to open themouth and be ready to catch (as a crocodile waiting for its prey) 
-atameza (atamezi) 	v.t. Sotho. to bring near: Atameza mukuli ku mualafi, bring the patient near the i doctor. syn. -suteleza a-ta- mba-ku-ngwana, Luyana. Some day I will get my revenge. (lit. They- will-find-me.). idiom. exp. used by somebody who is ill treated. 
-atuka (atukile)	v.i. to be coarse, to be rough: to get discoloured: Buhobe bo bu atuka mwa hanu, this buhobe is rough in the mouth. Lisila le li atukile kapili, this fabric has faded quickly. caus. -atukisa (atukisize) to cause to: Mu sefe bupi hande, mu ka ha atukisa, sift the flour well lest it remains coarse. 
-atula (atuzi) 	v.t. to judge, to pass sentence, to arbitrate: to condemn: Mu atule taba ye, judge this case, der. muatuli, katulo, muatulelo, rel. -atulela (atulezi) (1) to judge in favour of, to acquit: Kuta i mu atulezi, the court acquitted him; (2) to condemn or sentence to: Ku atulela mutu lifu, to sentence a person to death. caus. -atulisa (atulisize) to help to judge, to assist in trying cases: Manduna ba atulisa Ngambela, councillors assist the Ngambela in trying cases. 
-atumela (atumezi)	v.t. to get near: Ku atumela munzi, to get near the village. caus. -atumeza (atumelize) to cause to come near. ref. -lkatu-meza ( ikatumelize) to come near to someone (der) buikatumezo. 
-atumuluha (atumuluhile) 	v.i. to be well stretched; to be wide: Mukwakwa u atumuluhile, the road is wide. caus. -atumulusa (atumulusize) to stretch well: Atumulusa mulomo ni kumule lino la hao, open your mouth wide so that I may pull out your tooth. Ku atumulusa mukwakwa, to widen the road 
au!	interj. expressing surprise: what! is that so! 
awa,	adv. no. syn. batili. 
ayaya!	interj. expressing fatigue, weariness. 
-aya-aya (aya-ayile)	v.i. to be unable to speak clearly through fear or stammering: Mutu yo ki wa sikukuma, u aya-aya feela, this man is stammering and cannot speak clearly. 
ayeka (ayekile)	v.t. Luyana. to acknowledge salutations (said of the Litunga when greeted by relatives) pass. -ayekwa (ayekilwe): Ba ayekilwe, their salutation has been accepted. caus. -avekisa (ayekisize) to order someone to acknowledge the salutation. 
B	 Generally soft. Somtimes almost pronounced as v: buhobe. After m, has an explosive sound: mba. 
ba, (1)	pref. pl (class mu-ba) (2) pers. pron. 3rd pers. pl. subj and obj.: they, them: Ba ni bona, they see me: u ba tusize, he has helped them. (3) rel. pron. (same class) those who: Mu tiise lipilu za ba ba lila, comfort those who mourn. (4) dem. pron. pl. (same class) 1st degree; these: Bana ba, these children. (5) poss. part. pl. (same class): Bana ba luna, our children. (6) In plural denoting respect: Bo ndate ba kula, my father is ill. 
ba!	interj. of instant request: Mu tise mwanana yo kwanu ba! Do bring this child here, quick! 
-ba (bile)	v.i. defective, used alternately with corresponding verb -li, as in dependent clauses and imperfect tenses. (1) to be: Ku ba teni, to be there. Ku ba siyo, not to be there; ba is not expressed in 1st and 2nd persons of present tense: Ni mutu, I am a person. Mu ba bande, you are good (or beautiful or handsome). In the 3rd person sing and pl' ki replaces the pronoun: Ki mutu, he is a person; ki ba bande, they are good. (2) to exist: Na li ka ba mutu, from the time I came into existence. (idiom. exp. used in denial, meaning: never, not at any time) (3) to become: Likota ze ha li ka ba ze tuna li ka be a hahulu, when these trees become big, they will bear much fruit. (4) When used as an auxiliary verb, ba gives the meaning of 'eventually' or 'until': Na ba na mu fa mali, eventually I gave him money. See also: haiba, nihaiba, kaba. 
-ba ni, 	v.t. (1) to have (to be with): Ku ba ni mata, to have strength. Also formed by use of auxiliary verb -na ni (to sit with) in indicative and conditional moods: Ni na ni bana, I have children. Kaba ni na ni mali, kaba na mi tusa, if I had any money, I would assist you. (2) to be bound to, obliged: Nih'a lata, nih'a sa lati mutu u na ni ka sebeza, whether he likes it or not, a man is obliged to work. (3) The forms: 'ku na ni', 'ha ku na' are commonly used to express: there is, there is not: Ku na ni batu ba banwi mwa munzi, there are some people in the village. Ha ku na sico mwa naha, there is no food in the land. 
-baama (baamile) or baamana (baamani)	v.i. to bar the way: Noha i baamile mwa nzila, the snake is lying across the path. caus. -baamisa (baamisize) or baameka (baamekile) to cause to bar the way: U side was baameka munsi mwa munyako, do not put the pestle across the door. Ba baamisize ndembela ye fubelu ku kwala mukwakwa, they have positioned the red flag, closing the road. 
-baba (babile)	v.i. (1) to be bitter: Nkwinini ya baba, quinine is bitter. rel. -babela (babezi) to be bitter to: Sico se sa ni babela mwa hanu, this food has a bitter taste in my mouth. (2) to itch: Lukwekwe lwa baba, scabies itch. caus. -babisa (babisize) to make bitter: Ba babisize busunso ka lizwai le lin ata, they made the relish bitter by sprinkling on too much salt. 
-babaila (babailile or babaezi)	v.i. to walk with difficulty, with sore feet: Mutu yo u babaila inge ya na kulile linda, this person walks as if he suffered from jiggers (chigoes) syn. -babalika. caus. -babailiseze) to help someone who walks with difficulty: Ku babailisa mukuli, to help a patient to walk. 
-babalela (babalezi)	v.t. to take care of, to look after, to attend to, to provide: Ku babalela mbututu, to take care of a baby. Ku babalela likomu, to look after the cattle. der. mubabaleli, pabalelo. syn. -tokomela. rel. -babalelela (babalelezi) to take care of on someone'e behalf. caus. -babalelisa (babaleli-size) to help to ~. rec. -babalelana (babalelani) to take mutual care, to take care of each other. ref. -ipabalela (ipabalezi) to take care of oneself. 
-babata (babatile)	v.i. and v.t. to grope, to feel one's way, to poke, to look for a thing in darkness or under water: Sibofu si ba bata mu-nyako, the blindman is groping for the door. syn. -pupuleza. rel. -babatela (babatezi) to grope for someone. caus. -babatisa (babatisize) to help, to assist in groping: T'o ni babatise mankisi wa luna, come and help me to look for our matches (in darkness). 
-babaza (babazize)	v.t. Sotho. to admire, to wonder at, to praise: Ne ba mu babaza ka sishemo sa hae, they praised him for his kindness. cf. -lumba. 
-babuha (babuhile) or -babuka (babukile) 	v.i. (1) to be singed, slightly roasted: Milili ya ka i babuhile, my hair got singed. (2) to be frost-bitten (of young plants) freq. -babauka (babaukile) to be singed all over or in many places. 
-babula (babuzi)	v.t. (1) to singe, to rast slightly. (2) to injure by frost: Silami si babuzi licalo, the frost has nipped the seedlings. der. sibabu-lani fig. to scold bitterly. caus. -babulisa (babulisize) to cause to singe, to help someone to burn something: U t'o ni babulisa sului, come and help me destroy the red ants with burning grass. 
bafi?	inter. pron. pl. (class: mu-ba) who? which? Bana ba mina ki bafi? Which are your children? 
bafi ni bafi,	indef. pron. (class: mu-ba) whichever: Batu bafi ni bafi, whoever these people are, whoever they may be. By extension: all, without any exception. 
bahabo 	(sing. wa -) bona: Bahabo luna, our relations; bahesu, my relations, bahenu, Your relations. 
baikale,	n. pl. (batu baikale), the people of old, ancestors. 
baikulu,	n. pl. grandsons or granddaughters. 
baikulu-ba-baikulu,	n. pl. progeny, descendants, offspring, lineage. -baka (bakile) v.i. to change one's mind; to repent, to be penitent; to amend: Ni bakile, I repent. (Ku baka, used as noun means: repentance. Ku sa baka. impenitence) rel. -bakela (bakezi) to repent for, to give up: Bakela lihi za hao, give up your evil ways. caus. -bakisa (bakisize) to cause to repent (through punishment) rel. -bakiseza (bakiselize) to punish on someone-s behalf: T'o ni bakiseze mwanana yo, come and punish this child for me. int. -bakelela (bakelezi) to give up one's evil ways for good. 
-bakanya (bakanyize)	v.t. to arrange, to put in order, to tidy, to prepare: Lu bakanyize hande libyana mwa sintolo, we have put the goods tidily in the store. syn. -lukisa. rel. -bakanyeza (bakanyelize) to prepare for: Lu bakanyeze haenyi ndu, let us get the house ready for the guests. caus. -bakanyisa (bakanyisize) to help to: Musizana yo u ni bakanyisize lipeu, this girl has helped me to get the seeds ready. stat. -bakanyeha (bakanyehile) to be in order, to be tidy: Ndu i bakanyehile hande, the house is in good repair. int. -bakanyeleza (bakanyelelize) to put completely in order ref. -lpakanya (ipakanyize) to prepare oneself, to get ready. 
Bakenisa prep; (lit: mwa sibaka-sa, in the place of) instead of~,on account of, on behalf of:	U.sebeze bakenisa ku bulela, do some work instead of talking. 
baki (li-)	n. coat, jacket: U apezi baki ye nde, she is wearing a fine coat. 
-bakula1 (bakuzi)	v.t. to beat with the open hand, to slap on the face or on the body: U mu bakuzi fˆ lilama, he has slapped him on the cheek. rel. -bakulela (bakulezi) to for someone: Ni bakulele yena, slap him for me. freq. -bakaula (bakauzi) to slap repeatedly. 
-bakula2 (bakuzi)	v.t. to take meal out of a mortar to be sifted. rel. -bakulela (bakulezi) to ~ for someone 
