अचंभे	Aback
प्रगति	Advancement
ढल्कँदो	Advancing
लाभ	Advantage
लाभप्रद	Advantageous
अभिवहन	Advection
आगमनको	Advent
एड्भेन्टिस्टवादको	Adventism
एडभेन्टिस्ट	Adventist
साहसिक	Adventure
साहसी	Adventurer
रोमाञ्चक यात्रा गर्ने सोख	Adventuresome
साहसिक	Adventurous
शत्रु	Adversary
विरोधसूचक	Adversative
विरोध प्रकट गरदै	Adversatively
प्रतिकूल	Adverse
प्रतिकूल	Adversely
कठिनाइको	Adversity
विज्ञापन	Advertise
विज्ञापन	Advertisement
विज्ञापनदाता	Advertiser
विज्ञापन	Advertising
सल्लाह	Advice
उचित छ	Advisability
उचित	Advisable
सल्लाह	Advise
सल्लाह	Advised
सल्लाहकार	Adviser
सल्लाहकार	Advisor
सल्लाहकार	Advisory
वकालत	Advocacy
अधिवक्ता	Advocate
ईजियन	Aegean
तत्वावधन	Aegis
हावा द्वारा लाया गया	Aeolian
कल्प	Aeon
वातन	Aeration
जलवाहक	Aerator
हवाई	Aerial
हवाई	Aero
एरोबिक	Aerobic
वायुगतिकी	Aerodynamics
एरोगेन	Aerogen
वायुजनक	Aerogenous
वैमानिक	Aeronautical
वैमानिकी	Aeronautics
हवाई जहाज	Aeroplane
एरोसोल	Aerosol
सौंदर्य	Aesthetic
सौंदर्यपरकता	Aesthetically
सौन्दर्य	Aesthetics
टाढा	Afar
मामला	Affair
प्रभावित	Affect
प्रभावित	Affected
प्रभावित	Affecting
स्नेह	Affection
स्नेही	Affectionate
प्यार	Affectionately
स्नेहशीलता	Affectionateness
अभिवाही	Afferent
शपथपत्रिक	Affiant
शपथ पत्र	Affidavit
सहबद्ध	Affiliate
आबद्ध	Affiliation
म	Affinity
वाणी	Affirm
बुँदा	Affirmation
सकारात्मक	Affirmative
सुस्पष्ट	Affirmatively
लगाउनु	Affix
मिलाना	Affixation
पीडा	Afflict
कष्ट	Afflicted
सताउनेहरूका	Afflicting
कष्ट	Affliction
आरामदायी	Affluence
सम्पन्न	Affluent
वहन	Afford
किफायती	Affordable
अपमान	Affront
अफगान	Afghan
आगोले	Aflame
शहरले	Afloat
भइ	Afoot
प्रभावित	Aforesaid
पहिले लेखिएका सबै कुरा	Aforetime
डर	Afraid
अफ्रिकी	African
अफरीदी	Afridi
अफ्रिकी	Afrikaans
अभियुक्त	Aft
पछि	After
खौफ को साये	Afterglow
संसद्समक्ष	Aftermath
दिउँसो	Afternoon
दिउँसो	Afternoons
बाद	Afterthought
त्यसपछि	Afterward
पछि	Afterwards
फेरि	Again
विरुद्ध	Against
अगामा	Agama
अग्रवाल	Agarwal
उमेर	Age
वृद्ध	Aged
ढंग	Agena
एजेन्सी	Agency
एजेन्डा	Agenda
बारे	Agent
ढेर	Agglomeration
बढन	Aggravate
गंभीर	Aggravating
उत्तेजना	Aggravation
कुल	Aggregate
एकत्रीकरण	Aggregation
आक्रमण	Aggression
आक्रामक	Aggressive
आक्रामक	Aggressively
आक्रामकता	Aggressiveness
आक्रमणकारी	Aggressor
अपकृत	Aggrieved
भौचक	Aghast
चुस्त	Agile
चपलता	Agility
बुढ्यौली	Aging
पावर एन्ड	Agio
आन्दोलन	Agitate
आन्दोलन	Agitation
आन्दोलन को रास्ता	Agitational
आंदोलनकारी	Agitator
दमकता	Aglow
अश्वेतसारिकमूत्रता संबंधी	Aglycosuric
नास्तिक	Agnostic
पहिले	Ago
पिडा	Agony
अब	Agora
पीला	Agouti
आगरा	Agra
अकणीश्वेतकोशिका	Agranulocyte
कृषकका	Agrarian
सहमत	Agree
रुचाउनुहुने	Agreeable
लोसार	Agreeableness
उदार	Agreeably
सहमति	Agreed
सहमत	Agreeing
सम्झौता	Agreement
ग्राम्य	Agrestic
कृषि	Agricultural
कृषि	Agriculture
कृषिशास्रीय	Agronomic
कृषिविज्ञान	Agronomics
कृषिविज्ञानी	Agronomist
आह	Ah
अहा	Aha
अगाडी	Ahead
अहम	Ahem
अहिंसा	Ahimsa
अहिर	Ahir
अहलूवालिया	Ahluwalia
अहमद	Ahmed
सहयोग	Aid
सहयोगी	Aide
सलाहकारहरु	Aides
बिरामीहरूलाई	Ailing
रोगबाट	Ailment
उद्देश्य	Aim
लक्ष्य	Aiming
उद्देश्यहीन	Aimless
छैन	Aint
हावा	Air
विमान	Aircraft
एयर	Aire
प्रसारण	Airing
वायुहीन	Airless
पहुंचाई	Airlift
विमानसेवाको	Airliner
हवाईडाक	Airmail
हवाई जहाज	Airplane
विमानस्थलबाट	Airport
क्या तिमीले कभी	Airstrip
एयरवेज	Airway
उडान	Airworthiness
हवादार	Airy
गलियारे	Aisle
आर	Ait
अधखुला	Ajar
उर्फ	Aka
अकल	Akal
अकाली	Akali
एकान	Akan
समान	Akin
अक्काडीयन	Akkadian
म हुनेछ	Ako
अल	Al
सिलखडी	Alabaster
खुसीसाथ	Alacrity
अलादीन	Aladdin
एलन	Alan
वायुचालित वाहक	Alangiaceae
एलानाइन	Alanine
अलार्म	Alarm
डराऊनु	Alarmed
नपुगेका	Alarming
अत्यन्तै	Alarmingly
भय उत्पन्न	Alarmist
हाय	Alas
अलास्का	Alaska
अलास्का	Alaskan
ऐलस्टेअर	Alastair
अल्बन	Alban
अल्बानिया	Albania
अल्बेनियन	Albanian
आल्बाट्रस	Albatross
यद्यपि	Albeit
अल्बर्ट	Albert
अल्बर्टा	Alberta
ऐल्बिनिजम	Albinism
अल्ब्रेक्ट	Albrecht
एल्बम	Album
श्वेतक	Albumen
कीमियागर	Alchemist
कीमिया	Alchemy
रक्सी	Alcohol
मादक	Alcoholic
रक्सी	Alcoholism
मद्यसार मिलान	Alcoholize
आयोग	Alcove
उत्तिस	Alder
बियर	Ale
अलेम्बिक	Alembic
एलेप्पोमा	Aleppo
चेतावनी	Alert
सतर्कता	Alertness
एल्यूशियन	Aleutian
एलेक्स	Alex
सिकन्दर	Alexander
अलेक्जेन्ड्रियाको	Alexandrian
एलेक्जान्ड्रिन	Alexandrine
अल्फा	Alfa
अल्फला	Alfalfa
अल्फ्रेड	Alfred
लेउ	Algae
बीजगणित	Algebra
बीजीय	Algebraic
बीजगणित	Algebraist
अल्जीरीयाई	Algerian
दुखाइ संबंधी	Algesic
मस्यौदा	Algin
अल्गनक्विन	Algonquin
तर्कको	Algorithm
एल्गोरिथम	Algorithmic
उपनाम	Alias
साक्षी	Alibi
एलिस	Alice
विदेशी	Alien
तर्काउने	Alienate
अलगाव	Alienation
परदेशी भएको अवस्था	Alienism
उत्रनु	Alight
संरेखित	Align
पङ्क्तिबद्धता	Alignment
उस्तै	Alike
पाचन	Alimentary
भत्ता	Alimony
विभाज्य	Aliquot
एलिसन	Alison
जीवित	Alive
खारा	Alkalescent
क्षार	Alkali
क्षारीय	Alkaline
क्षारीयता	Alkalinity
सबै	All
अल्लाह	Allah
एलन	Allan
हटाउने	Allay
सबै	Alle
आरोप	Allegation
आरोप	Allege
कथित	Allegedly
निष्ठा	Allegiance
लाक्षणिक	Allegorical
रूपक	Allegory
एलील	Allele
एलन	Allen
एलर्जी	Allergic
एलर्जस्ट	Allergist
एलर्जी	Allergy
कम	Alleviate
निवारणको	Alleviation
गोरेटो	Alley
गठबन्धन	Alliance
सम्बद्व	Allied
मित्र राष्ट्र	Allies
गोही	Alligator
अनुप्रास	Alliteration
बाँडफाड	Allocate
निर्धारण	Allocation
एलोपैथिक	Allopathic
आवंटित	Allot
माग	Allotment
उक्त रूपान्तर	Allotropism
अनुमति	Allow
स्वीकृत	Allowable
भत्ता	Allowance
मिश्र धातु	Alloy
उल्लेख	Allude
आकर्षणलाई	Allure
आकर्षक	Alluring
इशारों	Allusion
जलोढ	Alluvial
सहयोगी	Ally
एलिल	Allyl
अल्मा	Alma
पंचांग	Almanac
सर्वशक्तिमान हुनुहुन्छ	Almightiness
सर्वशक्तिमान्	Almighty
अल्मोन	Almon
बादाम	Almond
लगभग	Almost
दानहरू	Alms
दान	Almsgiving
एलनस	Alnus
एलनिन	Alocasia
मुसब्बर	Aloe
एक्लै	Alone
अकेलेपन	Aloneness
साथ	Along
सँगसँगै	Alongside
चासै	Aloof
खालित्य	Alopecia
ठूलो स्वरले	Aloud
अल्पाका	Alpaca
अल्फा	Alpha
वर्णमाला	Alphabet
अक्षरात्मक	Alphabetic
वर्णानुक्रम	Alphabetically
अल्पाइन	Alpine
पहिले देखि नै	Already
ठीक	Alright
एलसेशियन	Alsatian
पनि	Also
वेदी	Altar
हेरफेर	Alteration
शक्तिवाला	Alterative
अल्टरनेरिया	Alternaria
वैकल्पिक	Alternate
एकांतर	Alternately
बारी	Alternating
वैकल्पिक	Alternative
वैकल्पिक	Alternatively
हुनत	Although
अल्टिप्लानो	Altiplano
उँचाइ	Altitude
पूर्णरुपले	Altogether
निःस्वार्थ	Altruism
परोपकारी	Altruistic
एलम	Alum
एल्यूमिना	Alumina
एल्यूमीनियम	Aluminium
एल्यूमीनियम	Aluminum
छात्राहरु	Alumnae
छात्र	Alumni
अलूर	Alur
एल्विओलर	Alveolar
आल्भिन	Alvin
सधैं	Always
बिहान	Am
समर्पित स्टाफ	Amala
मिश्रण	Amalgam
मिश्रण	Amalgamation
ऐमारैंथ गयी	Amaranth
एकत्र	Amass
शौकिया	Amateur
अपरिपक्व	Amateurish
प्रणयशीलता	Amativeness
ऐमाटोल	Amatol
प्रेमपूर्ण	Amatorial
विस्मित	Amaze
छक्क	Amazed
छक्क	Amazement
अचम्मको	Amazing
आश्चर्यजनक	Amazingly
अमेजन	Amazon
अमेजन	Amazonian
राजदूत	Ambassador
पहेंलो	Amber
माहौल	Ambience
परिवेश	Ambient
अस्पष्टता	Ambiguity
अस्पष्ट	Ambiguous
महत्त्वाकाङ्क्षा	Ambition
महत्त्वाकांक्षी	Ambitious
महत्वाकांक्षी	Ambitiously
ले टहलना	Amble
एम्ब्लर	Ambler
एम्ब्रोस	Ambrose
एम्बुलेन्स	Ambulance
हिंडडुल	Ambulate
बाटोमै	Ambulatory
छिपकर	Ambush
भइहालेको	Ameliorate
आमिन	Amen
जिम्मा	Amenability
उत्तरदायी	Amenable
संशोधन	Amend
संशोधन	Amendment
मिलाप	Amends
सुविधा	Amenity
अमेरिका	America
अमेरिकी	American
अमेरिकाना	Americana
अमेरिसियम	Americium
नीलम	Amethyst
मिलनसार	Amiable
उनको सद्भाव	Amiableness
करो	Amic
सौहार्दपूर्ण	Amicable
दुवैलाई चित्त बुझ्ने तरिकामा	Amicably
बीच	Amid
एमाइड	Amide
आयोजना	Amidst
अमीन	Amin
अर्वत	Amini
एमिनो	Amino
अमिर	Amir
गडबड	Amiss
सौहार्द	Amity
अमला	Amla
अम्मान	Amman
बारूद	Ammo
अमोनिया	Ammonia
अम्मोनी	Ammonite
अम्मोनी	Ammonites
अम्मोनी	Ammonitess
अमोनियम	Ammonium
आगो	Ammu
गोला	Ammunition
बिर्सने	Amnesia
आममाफी	Amnesty
उल्व	Amnionic
अमीबा	Amoeba
आपे	Amok
बीचमा	Among
बीच	Amongst
एमोरी	Amorite
अनाकार	Amorphous
परिशोधन	Amortization
वक्फ	Amortize
आमोस	Amos
राशि	Amount
एम्पीयरेज	Amperage
एम्परसेन्ड	Ampersand
एम्फैटेमिन	Amphetamine
गतिवाला	Amphibious
द्विमुखी	Amphistome
रङ्गशाला	Amphitheater
उभयरागी	Amphophil
प्रशस्त	Ample
प्रवर्धन	Amplification
प्रवर्धक	Amplifier
विस्तार	Amplify
आयाम	Amplitude
सक्ने अवस्थामा	Amply
अंग काट्नु	Amputate
काट्नुपर्ने अवस्था	Amputation
ऐम्प्युटी	Amputee
अमृता	Amrita
अमृतसर	Amritsar
मनोरन्जन गर्नु	Amuse
फैसले देखि नाखुश	Amused
मनोरन्जन	Amusement
हसाउने	Amusing
एमी	Amy
प्रमस्तिष्कखंड	Amygdala
एक	An
गृह	Ana
कफकासकारक	Anacathartic
निरूपण देखि भ्रम	Anachronism
एनाकोंडा	Anaconda
रक्तअल्पता	Anaemia
रक्तक्षीणताले पीडित	Anaemic
एनेस्थेसिया	Anaesthesia
उद्धरण संग्रह	Analects
अनुरूप	Analogous
अनुरूप	Analogue
सादृश्य	Analogy
विश्लेषण	Analyse
विश्लेषक	Analyser
विश्लेषण	Analyses
विश्लेषण	Analysis
विश्लेषक	Analyst
विश्लेषणात्मक	Analytic
विश्लेषणात्मक	Analytical
विश्लेषणहरू	Analytics
विश्लेषण	Analyze
विश्लेषक	Analyzer
आनन्दप्रसाद	Ananda
हननिया	Ananias
अनन्तभन्दा	Ananta
अराजकतापूर्ण	Anarchic
अराजकताको	Anarchical
अराजकता	Anarchism
अराजकतावादी	Anarchist
अराजकता	Anarchy
अभिशाप	Anathema
अनातोली	Anatoly
संरचनात्मक	Anatomical
रचना	Anatomy
पुर्खा	Ancestor
पैतृक	Ancestral
पुर्खा	Ancestress
कुल	Ancestry
एंकर	Anchor
लंगर	Anchorage
संचालन	Anchored
संन्यासी	Anchorite
पुरातन	Ancient
सहायक	Ancillary
र	And
तपाईं	Anda
अन्डालुसियाली	Andalusian
अंडमान	Andaman
रेडियन	Andean
एन्डरसन	Anderson
आन्ध्र	Andhra
रङ	Andre
अन्द्रियास	Andrew
एन्ड्रिया	Andria
एण्ड्रोजन	Androgen
एन्ड्रोमेडा	Andromeda
एन्ड्रोनिकस	Andronicus
एन्डी	Andy
किस्सा	Anecdote
अरक्तता	Anemia
रक्तक्षीणताले पीडित	Anemic
एनेस्थेसिया	Anesthesia
एनेस्थेटिक्सले	Anesthesiologist
एनेस्थेसियोलोजी	Anesthesiology
एनेस्थेसियाको	Anesthetic
एनेस्थेटिस्ट	Anesthetist
एनररिजम	Aneurism
फेरि नयाँ	Anew
अंगारा	Angara
युद्ध संबंधी आवश्यकता	Angary
स्वर्गदूतले	Angel
स्वर्गदूतको	Angelic
देवदूत	Angelus
रीस	Anger
एंजाइना	Angina
थमनी रोग	Angiopathy
एंजियोप्लास्टी	Angioplasty
रक्तनलिकाहरु को फूलन	Angiotelectasia
कोण	Angle
कोण	Angles
एङ्गलिकन	Anglican
अङ्गोला	Angola
रिसाएर	Angrily
क्रोधित	Angry
गुस्से	Angst
आंगस्ट्राम	Angstrom
आङ्गुइला	Anguilla
वेदना	Anguish
त्यस्तो अवस्थामा विचलित हुँदै	Anguished
कोणीय	Angular
लडाकुहरूको	Angus
निर्जल	Anhydrous
अनिल	Anil
एनिलिन	Aniline
पशु	Animal
पाशविक	Animalistic
चेतन	Animate
एनिमेटेड	Animated
एनिमेसन	Animation
जीववाद	Animism
वैमनस्यता	Animosity
एनायन	Anion
अनीस	Anis
आयामिकरचनासाइज	Anisotropy
अनिता	Anita
आँखा	Ankh
पायल	Anklet
एन	Ann
अन्ना	Anna
इतिवृत्तकार	Annalist
वर्णक्रम देखि लेखएको	Annals
अन्नपूर्ण	Annapurna
ऐनी	Anne
पानी राखन	Anneal
वृत्ताकारी कीडे	Annelida
दोश्रो कोठा	Annet
गास्नु	Annex
अनुबंध	Annexure
एनी	Annie
विनाश	Annihilation
वार्षिकोत्सव	Anniversary
व्याख्या	Annotate
टीका	Annotation
घोषणा	Announce
घोषणा	Announcement
उद्घोषक	Announcer
परेशान	Annoy
नचाहेका	Annoyance
कष्टप्रद	Annoying
दिक्दार	Annoyingly
वार्षिक	Annual
वर्षेनी	Annually
कार्यकारिणी कामहरू	Annuitant
वार्षिकी	Annuity
रद्द	Annul
कुंडलाकार	Annular
निराकरण	Annulment
वलय	Annulus
घोषणा गर्नेवाला	Annunciator
अभिषेक	Anoint
अभिषेक	Anointment
विषम	Anomalous
विसंगति	Anomaly
सकेकी	Anonymity
अनाम	Anonymous
गुमनाम	Anonymously
आहार	Anorexia
अर्को	Another
बतख को सदृश	Anserine
जवाफ	Answer
जबाफदेही	Answerable
कमिला	Ant
वैमनस्यता	Antagonism
प्रतिपक्षी	Antagonist
विरोधी	Antagonistic
विरोध	Antagonize
प्रीति	Antara
अन्टार्कटिक	Antarctic
अन्टार्कटिका	Antarctica
सालक	Anteater
हरिण	Antelope
पल्ट प्रसव	Antenatal
एंटीना	Antenna
एन्टेना	Antennae
कमिला	Anterior
गान	Anthem
पराग हाल्ने अवस्था	Anthesis
कमिला बस्ने घर	Anthill
एंथोलजी	Anthology
एन्थोनी	Anthony
एन्थ्रासेन	Anthracene
एन्थ्रेसाइट	Anthracite
एन्थ्राक्स	Anthrax
मानवजन्य	Anthropogenic
मानवशास्त्रीय	Anthropological
मानवविज्ञानी	Anthropologist
एन्थ्रोपोलोजी	Anthropology
मानवीकरण	Anthropomorphism
मानवशरीररचना	Anthropotomy
विरोधी	Anti
जीवाणुरोधी	Antibacterial
एन्टिबायोटिक	Antibiotic
एंटीबडी	Antibody
विरोधी	Anticancer
एंटीक्लोर	Antichlor
ख्रीष्ट विरोधी	Antichrist
आशा	Anticipate
प्रत्याशा	Anticipation
एंटीकग्युलेंट	Anticoagulant
मारक	Antidote
एंटीफ्ऱीजर	Antifreeze
एंटिफिकेशन	Antifriction
प्रतिजन	Antigen
प्रतिजनी	Antigenic
सुरमा	Antimony
सुषुप्तिनिवारक	Antinarcotic
एंटीओक्सिडेंट	Antioxidant
प्रतिकूल स्वभाव	Antipathic
प्रतिमुख	Antipodal
ज्वरनाशी	Antipyretic
अनोखी	Antiquarian
संभवतः	Antiquated
प्राचीन	Antique
फर्नीचर बनाउन	Antiquing
पुरातन	Antiquity
धर्मविरोधी	Antireligious
आमवातरोधी	Antirheumatic
एंटीसेप्टिक	Antiseptic
असामाजिक	Antisocial
मूल आदर्श	Antitype
प्रतिकात्मक	Antitypical
एंटीवायरस	Antivirus
एन्टोन	Anton
एन्टोनियो	Antonio
एन्टोनी	Antony
विपरीतार्थशब्दप्रविष्टगर्नुहोस्	Antonym
एंटवर्पेन	Antwerp
अनुपा	Anura
गुदा	Anus
